claim_id,current_claim,claim_category,current_artifact,source_file,source_page_or_sheet_or_layer,source_figure_table_heading,exact_source_evidence,current_interpretation,independent_interpretation,units,sign_convention,temporal_scope,spatial_scope,measurement_method,datum_reference_system,digitization_required,digitization_uncertainty,evidence_tier,verification_status,impact_if_wrong,recommended_action
R2-C037,"Disp_min/mean/max рис.18 — точные опубликованные значения, условия для поля v3.2",anchor_semantics,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/METHODOLOGY_V3.md; SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,рис.18,Фрагмент 'Участки_признаки (оседания над участком)',Disp_min = 100.016; 100.008; 100.008; 100.002; 100.002; 100.001; 100.24; 141.391,Exact published anchors,"7 из 8 минимумов ≈100.00x мм — след нижней изолинии/клиппинга интерполяции, а не реальный минимум участка",мм,положительные = оседание,~2022,участки,зональная статистика растра,—,no,—,TIER_1,AMBIGUOUS,Исторический v3.2: неверное условие якорей (не влияет на v2.1),DOCUMENT_ONLY
R2-C038,"TECH-14: mining_interval '1958–1959', fill_interval '1971–1972, 1993–1998, 20…'",transcription,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,"рис.17, последняя строка",Фрагмент 'Участки_признаки (горно-технические факторы)',"exel_Date_otrab: '1958-1959, 1971-1972'; exel_Year_zaklad: '1993-1998, 2(…'",exact_or_source_truncated,"Транскрипция v3.2 ошибочна: 1971–1972 — годы отработки, не закладки. Исторический workbook v1 содержит верное значение → регрессия v3.2",годы,—,1958–1998+,"57П блок, зона 101",таблица предприятия,—,no,—,TIER_1,CONTRADICTED,Хронология одного блока неверна (исторический v3.2; v2.1 не затронут),ERRATUM_CANDIDATE для v3.2 seed; не менять автоматически
R2-C039,COORD-03: блок '68',transcription,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,"рис.14, 3-я строка",Фрагмент 'Centoids_zone_pol',Первая цифра частично закрыта маркером Excel; видимая часть ближе к '5',exact_transcription '68',AMBIGUOUS: 58 или 68; workbook v1 давал 58,—,—,—,—,—,местная СК,no,—,TIER_1,AMBIGUOUS,Незначительно (атрибут якоря),DOCUMENT_ONLY
R2-C040,GEOM-01..03: bed_thickness_m = 3.19/5.49/5.30,semantics,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,рис.15,"'Вынимаемая мощность, м'","Колонка 'Вынимаемая мощность, м'",bed thickness,"Это вынимаемая мощность (extracted thickness), не мощность пласта",м,—,—,"1 СЗП, блок 6",таблица предприятия,—,no,—,TIER_1,CONTRADICTED,Для физических миров: вынимаемая мощность m ≠ мощность пласта,ERRATUM_CANDIDATE (историческая семантика)
R2-C041,NAT-*: lithology = КрII/АБ (из exel_Krep),semantics,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,рис.16; табл.1.1,exel_Krep = 'Отрабатываемый пласт',Таблица 1.1: exel_Krep — отрабатываемый пласт,lithology,"Это имя отрабатываемого пласта, не литология",—,—,—,участки,—,—,no,—,TIER_1,CONTRADICTED,Смешение стратиграфии и литологии,ERRATUM_CANDIDATE (историческая семантика)
R2-C042,"Геопривязка контекстная: ±260 м, нет официального ключа",georeference,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/tables/overview_georeference.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,§3.1.1; рис.13,Рис.13 'Привязка исходных данных',Исходные данные в местной СК без ключей перехода; привязка к OSM по контрольным точкам,context_only_not_engineering,"Согласен (оценка ±260 м — допущение, но консервативна). Меридиан раздела 56.789° (Филатова) согласуется с районом Соликамска",м,—,—,СКРУ-1,—,местная СК → OSM,yes,±260 м (оценка),TIER_4,SUPPORTED,—,Нет
R2-C043,Геометрия 538 плановых единиц (рис.13б) и слои otrpol_*/fact_zakl_* GPKG воспроизводят исходные слои,gis_geometry,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/geodata/skru1_data_reconstruction_v3_2.gpkg; artifacts/reconstruction/filatova_figure13b_geometry_v1/,inputs/sources/primary/ВКР_Филатова_М_С.docx,"рис.12, 13б, 22, 25",—,Растр; красная линейная графика,D/R candidate membership (source_layer_manifest),"otrpol_kr2 = все 538 единиц (равно zone_pol): принадлежность КрII — допущение, не наблюдение. Имена слоёв GPKG совпадают с именами исходных TAB → риск принять реконструкцию за оригинал",м,—,состояние ~2022,СКРУ-1,растровая векторизация,локальная реконструированная СК (LOCAL_CS unknown datum),yes,~12 м (заявлено) + 260 м абсолютная,TIER_4,PARTIALLY_SUPPORTED,Геометрия выработок/закладки не доказана на уровне блоков,DOCUMENT_ONLY; не использовать как ground truth
R2-C044,Сеть 14 профилей / 42 базовых точек (126 с REF) — 'реконструированная' геометрия,network_provenance,data/scenario_simulation_v2_1/field_provenance.json; SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/tables/survey_profiles.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,—,—,Источник не содержит расположения профильных линий СКРУ-1,RECONSTRUCTED: point_roster local x/y geometry,"Сеть спроектирована (P-H/P-V/P-D, шаг 190 м, REF 'external_reference_synthetic_design') на реконструированном контуре; реальная сеть реперов СКРУ-1 не восстановлена",м,—,—,СКРУ-1 контур,дизайн,локальная,no,—,TIER_4,PARTIALLY_SUPPORTED,Иллюзия реальной сети,Переименовать класс в DESIGNED_ON_RECONSTRUCTED_FOOTPRINT
R2-C045,"Календарь 29 кампаний 2018–2025 — унаследованный дизайн, не журнал",calendar,data/scenario_simulation_v2_1/campaign_catalog.csv,—,—,—,Нет источника,inherited scenario design,Подтверждено: provenance 'S' в survey_campaigns.csv,даты,—,2018–2025,—,—,—,no,—,TIER_4,SUPPORTED,—,Нет
R2-C046,Историческая дата карты 28.10.2022 (v1 A04) и train-граница 2022-10-28,date_semantics,"SKRU1_ACTUAL_DATA_TABLES_v1/04_excel_workbooks/HISTORICAL_reconstructed_dataset_v1.xlsx (Assumptions A04, A10)",inputs/sources/primary/ВКР_Филатова_М_С.docx,рис.12,Имя слоя 'ОСЕДАНИЯ_2022_СКРУ1',Только год 2022 в имени файла,"ASSUMED_DATE (v1), позже 'год 2022' (v3.2)","Тип даты: SOURCE_STATE_DATE (год, из имени файла); точный день — ASSUMED_DATE. Исторические сплиты B/C опирались на допущенную дату",дата,—,2022,—,—,—,no,—,TIER_4,SUPPORTED_WITH_LIMITATIONS,Историческое; v2.1 не затронут,DOCUMENT_ONLY
R2-C047,"СКРУ-1: промышленные пласты КрII, АБ, В; глубины 140–461 м; горизонты −113/−143/−240 м; мощность продуктивной толщи ~72 м",physical_geometry,—,inputs/sources/primary/ВКР_Филатова_М_С.docx,§2.3,—,Абзац §2.3 без ссылки,—,Вторичная (студенческая ВКР) сводка без ссылки; внутренне противоречит §2.4 (глубины 250–350 м; мощность 30–50 м; падение 3–8° против до 15°),м,—,—,СКРУ-1,—,—,no,—,TIER_1_SECONDARY,PARTIALLY_SUPPORTED,TRACK B: геометрия пластов неопределённа,Искать первичный источник (Кудряшов 2001/2013; проект рудника)
R2-C048,σv = 0.025z МПа; σh = 1.2–1.5 γH на СКРУ-1,physical_stress,—,inputs/sources/primary/ВКР_Филатова_М_С.docx,"§2.3, ссылка [23]",Список источников [23],"[23] = Козырев и др., 2009, массив в окрестности крупной карьерной выемки (Вестник МГТУ)",—,"σh-коэффициент перенесён из работы по карьеру (не ВКМ, не соль): как параметр СКРУ-1 не подтверждён; σv=γH — общее соотношение (ρ≈2.5 т/м³ не обосновано для солевой толщи)",МПа,сжатие +,—,—,—,—,no,—,TIER_5 (для СКРУ-1),CONTRADICTED,Ошибочное начальное напряжённое состояние в будущих мирах,Не использовать; MISSING_EVIDENCE_REQUEST
R2-C049,Конвергенция выработок 2–4 мм/сут,physical_rheology,—,inputs/sources/primary/ВКР_Филатова_М_С.docx,"§2.3, ссылка [24]","[24] Демин и др., аналитическое моделирование",—,—,Источник — аналитическое моделирование приконтурного массива (не наблюдения ВКМ); значение не проверено,мм/сут,—,—,—,—,—,no,—,TIER_5,UNSUPPORTED,Ложная калибровка ползучести,Не использовать
R2-C050,Проницаемость соленосной толщи ≤1e−8 м/сут,physical_hydro,—,inputs/sources/primary/ВКР_Филатова_М_С.docx,§2.3,—,Без ссылки,—,SOURCE_NOT_FOUND,м/сут,—,—,—,—,—,no,—,TIER_5,SOURCE_NOT_FOUND,—,MISSING_EVIDENCE_REQUEST
R2-C051,Классы целиков: C>0.7 обрушающиеся; 0.3≤C<0.7 относительно жёсткие,physical_pillars,—,inputs/sources/primary/ВКР_Филатова_М_С.docx; EXT03,§2.4 [27]; Барях–Тенисон 2021 с.58–59,—,"Барях–Тенисон: C≤0.4 'жёсткие'; C=0.7 'податливые', разрушаются в первые 5–7 лет",—,Пороги классов противоречат между ВКР и рецензируемой статьёй,безразм.,—,—,ВКМ,—,—,no,—,TIER_2,CONTRADICTED,Неверная классификация режима целиков в мирах,Использовать рецензируемый источник/Указания
R2-C052,15 стволов глубиной 289–472.5 м; водоприток 250–300 м³/сут — условия СКРУ-1,physical_context,—,inputs/sources/primary/ВКР_Филатова_М_С.docx,"§2.4 [28,29]",Рис.11,Ссылки на технологические обзоры,—,"Масштаб 'рудники Уралкалия', не СКРУ-1; UNSUPPORTED как СКРУ-1",м,—,—,—,—,—,no,—,TIER_5,UNSUPPORTED,—,Не использовать как параметр СКРУ-1
R2-C053,"Хронология отработки блоков (рис.17): годы 1934–1991, закладка 1971–2017; глубины кровли 190–300 м; камеры 5–16 м; целики 8.5–12 м; C 0.14–0.33",mining_chronology,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/published_anchors_transcribed.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,"рис.17, рис.15",Фрагменты таблиц,14 строк (11 уникальных зон),exact_transcription (кроме TECH-14),Подтверждено (кроме R2-C038): это единственная блоковая хронология в корпусе; покрытие — фрагмент (11 зон из ~1665 записей),годы; м,—,1934–2017,11 зон СКРУ-1,таблица предприятия,местная СК,no,—,TIER_1,SUPPORTED_WITH_LIMITATIONS,—,TRACK B: использовать как якоря хронологии
R2-C054,Доноры меняют масштаб: S_p(b)−S_p(a)=A_p в номинальном окне,generator_mechanism,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,inputs/sources/supplementary/geokniga-02obrabotka.pdf,—,—,—,empirical scale conditioning,"Код верифицирован (latent_surface: ref=F(b)−F(a); field/ref). Ограничивает только приращение в окне, не мгновенные скорости",мм,positive-down,окно d лет,профиль,—,—,no,—,EMPIRICALLY_CONSTRAINED (масштаб),SUPPORTED,—,Нет
R2-C055,"Пик = floor + (upper−floor)·U(0.7,1.0); upper включает границу чтения",generator_assumption,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,—,engineering assumption,"Допущение; пик может превышать опубликованный максимум на границу чтения (до ~15 мм, л.1)",мм,—,—,—,—,—,no,—,ENGINEERING_ASSUMPTION,SUPPORTED,—,Документировать
R2-C056,Окно донора в середине горизонта T≈7.47 лет,generator_assumption,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,—,design assumption,Чистое допущение; для законов затухания/эпизодов переносит масштаб в произвольное время,годы,—,—,—,—,—,no,—,ENGINEERING_ASSUMPTION,SUPPORTED,—,Документировать
R2-C057,10 временных семейств с равными весами (по 70 сценариев на ненулевое семейство); 0% законов идентифицировано,generator_temporal,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json; docs/reports/DATA_FOUNDATION_V2_RU.md,inputs/sources/primary/03-GR-24-2.pdf; inputs/sources/primary/01006516068.pdf; inputs/sources/supplementary/geokniga-02obrabotka.pdf; EXT03; EXT04,—,—,Многолетние ряды района почти линейны (SRC05 рис.6б; SUP01 врезка); эпизодические ускорения документированы как редкие события (EXT04: 1984–85 разрушение междупластья; EXT03: ~800 мм/год в первые годы при C=0.7),Параметры и доли — design assumptions; семейства 'source-motivated',"'0%' — верно. Но равные доли не имеют эмпирической основы; 'motivation' ссылками на SRC03 выглядит эмпиричнее, чем есть. Для района СКРУ-1 наблюдения поддерживают преобладание почти стационарных режимов",—,—,—,—,—,—,no,—,PURE_STRESS / ENGINEERING,SUPPORTED_WITH_LIMITATIONS,Интерпретация результатов бенчмарка как 'реалистичных для СКРУ-1',"Явно маркировать смесь как factorial stress, не prevalence"
R2-C058,"Структурные формы: monotone gradient (л.1), two lobes (л.5), broad bowl (л.17), localized bowl (л.6)",generator_spatial,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json; artifacts/reconstruction/scenario_constraints_v2/profile_series_inventory.csv,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15,—,Формы профилей видны,ordinal transfer only,Подтверждено визуально (R2),—,—,—,—,—,—,no,—,EMPIRICALLY_CONSTRAINED (ordinal),SUPPORTED,—,Нет
R2-C059,Moving spatial focus,generator_temporal,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,Нет наблюдений миграции центра в корпусе,stress,PURE_STRESS,—,—,—,—,—,—,no,—,PURE_STRESS,SUPPORTED,—,Нет
R2-C060,"Reactivation (два эпизода) — heldout stress, нет наблюдённой траектории СКРУ-1",generator_temporal,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,EXT04,"Евсеев–Жукова 2024, с.60",—,"Блок 129 (вероятно СКРУ-1): отработка 1965–76, резкий рост скоростей 1984–85 из-за разрушения междупластья; оседание 3.2 м, прогноз 5.8 м",no observed SKRU1 trajectory,Физический механизм реактивации на декадном масштабе подтверждён региональным источником; форма/параметры — нет,м,—,1965–2024,блок 129,профильная линия (с 1968),—,no,—,LITERATURE-INFORMED,SUPPORTED,—,Зарегистрировать EXT04 как physical context
R2-C061,"Обычная ошибка σ ∈ {0.4, 0.8, 1.6} мм, gaussian",generator_noise,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,Нет источника σ нивелирования СКРУ-1; нормативные допуски класса хода не равны σ отметки,engineering assumption,"ENGINEERING_ASSUMPTION; правдоподобно для нивелирования II класса, но не идентифицировано",мм,—,—,—,нивелирование,—,no,—,ENGINEERING_ASSUMPTION,SUPPORTED,—,Нет
R2-C062,"Выбросы p=0.06, 8–20 мм",generator_noise,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,—,engineering,ENGINEERING_ASSUMPTION,мм,—,—,—,—,—,no,—,ENGINEERING_ASSUMPTION,SUPPORTED,—,Нет
R2-C063,Системный сдвиг +8 мм с 0.58T и +1 мм/год,generator_noise,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,—,datum-failure stress,PURE_STRESS,мм,—,—,—,—,—,no,—,PURE_STRESS,SUPPORTED,—,Нет
R2-C064,"Вероятности пропусков (0.10; 0.03/0.40/3; 0.02, доли 0.46/0.72)",generator_missingness,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,Нет журнала пропусков,synthetic,ENGINEERING_ASSUMPTION,—,—,—,—,—,—,no,—,ENGINEERING_ASSUMPTION,SUPPORTED,—,Нет
R2-C065,State-dependent missingness p=0.04+0.30·clip(|v|/100),generator_missingness,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,—,—,—,—,MNAR stress,PURE_STRESS,—,—,—,—,—,—,no,—,PURE_STRESS,SUPPORTED,—,Нет
R2-C066,Латентное поле монотонно (только опускание); подъём линии 6 (+1…+4 мм) не моделируется,generator_physics,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json; docs/reports/DATA_FOUNDATION_V2_RU.md,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.15 л.6,—,+4.2 мм у 0 км,documented limitation,Подтверждено; подъём мал и может быть шумом,мм,—,—,—,—,—,no,—,ENGINEERING_ASSUMPTION,SUPPORTED,—,Нет
R2-C067,Конвертация знака и единиц: источник negative-down → positive-down мм; мм/год; год=365.25 сут; ускорение по серединам интервалов,sign_units,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json; docs/reports/DATA_FOUNDATION_V2_RU.md,—,—,—,—,declared,Код верифицирован (magnitude = −signed; YEAR_DAYS),мм; мм/год; мм/год²,positive-down,—,—,—,—,no,—,DERIVED,SUPPORTED,—,Нет
R2-C068,Erratum v2.1: целые сутки из дат (31 283 ячейки +1),erratum,docs/reports/SCENARIO_SIMULATION_V2_1_ERRATUM_RU.md,—,—,—,—,PASS,Логика кода верифицирована (exact_elapsed_days); повторная генерация в R2 не выполнялась,сутки,—,—,—,—,—,no,—,DERIVED,SUPPORTED_WITH_LIMITATIONS,—,Нет
R2-C069,Экстремумы v2 (730 мм/год; 892 мм) — намеренный stress tail,generator_extremes,docs/reports/DATA_FOUNDATION_V2_RU.md,EXT03,Барях–Тенисон 2021 с.58,—,Скорости до ~800 мм/год в первые годы после выемки при C=0.7 (БКПРУ-2),not empirically supported extrema of SKRU-1,"Для ВКМ регионально возможны (свежая выемка, податливые целики), для старых участков СКРУ-1 (отработка 1930–70-х, закладка) — нет свидетельств",мм/год,—,—,—,—,—,no,—,LITERATURE-INFORMED,SUPPORTED,—,Нет
R2-C070,"TH-003: порог информативности InSAR 20 мм/год (Бабаянц, СКРУ-2)",threshold,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/threshold_registry.csv,inputs/sources/primary/Babayants-Disser.pdf,§3.4 pp.64–68,—,10 мм за 165 дней ≈ 22 мм/год; анализ с 20 мм/год,descriptive threshold,Подтверждено,мм/год,—,2021–2022,СКРУ-2,TerraSAR-X,—,no,—,TIER_2,SUPPORTED,—,Нет
R2-C071,Рис.12 Филатовой = 12 исходных слоёв L01–L12 (source_layer_manifest),layer_inventory,SKRU1_ACTUAL_DATA_TABLES_v1/01_reconstruction_v3_2/seed/source_layer_manifest.csv,inputs/sources/primary/ВКР_Филатова_М_С.docx,рис.12 (image14.png),—,"12 слоёв-TAB + 2 Excel ('Параметры…', 'ОСЕДАНИЯ_2022_СКРУ1') + 'ОСЕДАНИЯ 2022_ок.cpg'",12 layers,Слой оседаний существовал отдельным файлом (shapefile-кодировка .cpg) и Excel; в L01–L12 не отражён,—,—,2022,СКРУ-1,—,—,no,—,TIER_1,PARTIALLY_SUPPORTED,Малое,DOCUMENT_ONLY
R2-C072,IMM — 'физический state-space prior' (R1),model_semantics,"docs/research/NEURAL_COMPARATORS_V2_1_RESEARCH_RU.md (R1, frozen)",—,—,—,—,physical prior,"IMM с [s,v,a] — кинематический prior, не геомеханический; физические источники (ползучесть солей, стационарные ряды) не идентифицируют двухрежимную кинематику",—,—,—,—,—,—,no,—,TIER_4,UNSUPPORTED,Переоценка 'физичности' в тексте ВКР,R1 не менять; уточнить формулировку в будущих текстах
R2-C073,"Длины линий SUP01 (≈1.4, 1.2, 0.6, 3.1 км) и метрический масштаб мульд не используются",unused_evidence,src/skru1/scenario_simulation_v2.py; src/skru1/scenario_simulation_v2_1.py; configs/scenario_simulation_v2_1.json,inputs/sources/supplementary/geokniga-02obrabotka.pdf,"p.15, p.14",—,Последние подписи осей; линейка 0–1000 м на p.14,normalized extent only,Доступно приблизительно; полезно для v3 (ширины мульд L≈1.54H по EXT03),км,—,—,—,—,—,no,—,TIER_1,SUPPORTED,—,V3_ONLY
R2-C074,Радарный ряд p.14 и профили p.15 — одна обработка 2011–2016,source_linkage,—,inputs/sources/supplementary/geokniga-02obrabotka.pdf,p.14–15,—,Одинаковый период и заголовок,не утверждалось,"AMBIGUOUS: вероятно, но не доказано",—,—,2011–2016,—,радар,—,no,—,TIER_1,AMBIGUOUS,Влияет на оценку длительности (R2-C005),DOCUMENT_ONLY
