vn_id,source_id,locator,stage_as_extracted,stage_id,mapping,status,scope,confidence,time_scale_as_extracted,notes
EV-VN-S030-0080,VKM-SRC-030,p6 [§1-3],deep drilling / borehole logging (oil exploration) as pre-mining stress characterisation,I05,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,logging (date n/a) -> interpretation 2005-2006 -> stress paper 2020,
EV-VN-S031-0027,VKM-SRC-031,p4 [Аннотация; Выводы],multi-stage extraction next to a long-stopped mining boundary; long-term evolution of old goaf,P13,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,стадии процесса сдвижения (реальное время не указано),
EV-VN-S033-0036,VKM-SRC-033,p5 [весь текст],extraction and post-extraction degradation of pillars,P16,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,сезоны-годы (не количественно),
EV-VN-S034-0043,VKM-SRC-034,p2 [участок 1 и 2],extraction -> long-term pillar creep -> critical deformation -> backfill intervention,P16,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,годы (≈6 лет до ускорения на участке 2),
EV-VN-S036-0008,VKM-SRC-036,p1 [§Introduction],post-extraction long-term pillar creep (extraction -> long-term evolution),P16,explicit (cited in stage row),FACT,GENERAL_METHOD,MEDIUM,years-decades in field; lab calibration only to ~70-300 h,Stage described qualitatively; this paper only calibrates specimen-scale laws.
EV-VN-S036-0125,VKM-SRC-036,p17 [§Conclusion + §Mathematical model],laboratory testing -> constitutive-model calibration,I16,keyword rule on stage text,FACT,UNSTATED,HIGH,test durations ~68-303 h after steady-creep onset,Upscaling to pillar/massif scale is NOT addressed in this paper.
EV-VN-S037-0013,VKM-SRC-037,p3 [§1.1.1],exploration / development status (~1990),I02,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,1925–1990+,«один затоплен» — by 1990 the flooded one is BKRU-3 (flooded 1986); not stated here explicitly — do not infer in data.
EV-VN-S037-0265,VKM-SRC-037,p30 [§1.3 в целом],mine planning → development → extraction (multi-seam) → backfill (частично),P11,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,годы–десятилетия; датировок нет,
EV-VN-S037-0269,VKM-SRC-037,"p31 [§1, с.60–61, рис. 1.30–1.32]",development/extraction of two seams (Красный-II and АБ),P12,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,годы на панель,Figures 1.30–1.32 are plan-view ventilation schematics without numeric dimensions (visually checked at 100 dpi).
EV-VN-S037-0351,VKM-SRC-037,"p43 [§2.9, с.84]",construction of large-section sludge chambers (waste disposal stage of mine lifecycle),P14,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,годы,
EV-VN-S037-0374,VKM-SRC-037,p44 [гл. 3 §3.1–3.4],extraction (очистная выемка) by room-and-pillar chambers,P11,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,десятки тыс. т/мес на комплекс,
EV-VN-S037-0423,VKM-SRC-037,"p58 [§3.10, с.114; рис. 3.37]",chamber extraction cycle in folded seams (cut drift → stripe blasting → loading),P11,keyword rule on stage text,FACT,SKRU1,MEDIUM,"недели на камеру (рис. 3.37, шкала в сутках)",Gives sub-monthly timing of void creation per chamber — informs temporal resolution for mining-event history.; область: SKRU1_SKRU2 → SKRU1 (D-17; технология «на рудниках СКПРУ-1 и СКПРУ-2» (рис. 3.33): также СКРУ-2)
EV-VN-S037-0453,VKM-SRC-037,p61 [§3.12–3.17 (с.119–129)],multi-seam extraction sequence,P12,keyword rule on stage text,FACT,SKRU2,MEDIUM,"панель — годы (нагрузка 2—2,5 млн т/год)",Choice of number of seams is conditioned by protected surface/undermined objects — a coupling between surface objects and the 3D void inventory.
EV-VN-S037-0461,VKM-SRC-037,p66 [§3.18 (с.130–131)],"backfill (delayed, post-extraction)",P14,explicit (cited in stage row),FACT,SKRU2,HIGH,годы—десятилетия,For the 3D+time world: chamber open-time before backfill is a key state variable; the traditional 10–20 yr lag is a normative statement for VKM practice (context SKPRU-2).
EV-VN-S037-0473,VKM-SRC-037,"p71 [§4.2 (с.141–143), рис. 4.1]",mechanical backfill,P14,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,непрерывно; закладка камер после выемки (с задержкой),
EV-VN-S037-0513,VKM-SRC-037,p78 [§4.6 (с.153–155)],underground waste (slime) storage in underlying rock salt,P14,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,годы,
EV-VN-S037-0599,VKM-SRC-037,p94 [§6.4–6.5],проходка и крепление выработки (development),P10,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,месяцы (активная стадия); годы (Tсл),
EV-VN-S037-0687,VKM-SRC-037,p109 [§6.10.1 (стадии существования выработки)],жизненный цикл подготовительной выработки в многопластовой отработке,P12,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,"годы (пример: 5,7 + 0,9 + 0,19 года)",
EV-VN-S037-0785,VKM-SRC-037,p133 [§7.3.1–7.3.2],mine planning (annual),P05,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,1 год (усреднённый месяц в расчётах),
EV-VN-S037-0825,VKM-SRC-037,"p137 [§8.1 (методика), §8.1.8 (примеры 1–3)]",extraction (chamber excavation by continuous miners),P11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,смены–недели на камеру; месяцы на блок/панель,Synthesis of chunk pages 137–147 for the mining-time operator of a 3D+time world; example numbers are TEACHING_EXAMPLE.
EV-VN-S037-0990,VKM-SRC-037,p166 [§8.4.1-8.4.3],extraction → pillar loading → steady creep → progressive creep/pillar failure,P13,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,сутки–годы (скорости в %/сут),Synthesis of §8.4 lifecycle for 3D+time world.
EV-VN-S037-0991,VKM-SRC-037,p169 [§8.5],surface response: onset → trough formation → full undermining → final subsidence,P18,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,месяцы–годы (скорости мм/мес),
EV-VN-S037-0992,VKM-SRC-037,p171 [§8.5.2],mine planning check: WPS integrity under undermining,P05,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,проектная стадия (до выемки),
EV-VN-S037-0993,VKM-SRC-037,p173 [§8.6],backfill of mined chambers,P14,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,смены–месяцы после выемки,
EV-VN-S037-1051,VKM-SRC-037,"p185 [§8.6, с.360-369]",backfill,P14,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,не указан (закладка следует за очистной выемкой),
EV-VN-S037-1071,VKM-SRC-037,"p187 [§8.6.7, с.373]",backfill (sludge disposal),P14,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,не указан,
EV-VN-S037-1135,VKM-SRC-037,"p197 [§8.8, с.392-393]",mine planning (выбор варианта очистной выемки),P05,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,до начала отработки участка,"Chamber height/position within the seam is an economic-optimization output, constrained by pillar/roof stability and gas-dynamic (ГДЯ) risk."
EV-VN-S037-1180,VKM-SRC-037,"p190 [§8.7, с.378-399]",extraction (as-mined geometry vs seam geometry),P11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,по мере отработки камер,
EV-VN-S037-1185,VKM-SRC-037,"p209 [гл. 9 (горно-шахтное оборудование): бункеры-перегружатели БП-14А, БПС-22; бурильные установки УБШ-505, УБШ-506, Секома, SB-2/2]",extraction (очистная выемка) — технологическая цепочка оборудования,P11,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,отработка камеры — сутки/недели (срок не указан в источнике),Descriptive equipment chain; no timing given.
EV-VN-S037-1203,VKM-SRC-037,"p219 [гл. 9: анкерная крепь (СК-25, АК-19), проходка гезенков (ПГР-1А), погрузка/доставка (ПНБ, ПД), скреперные лебедки 2С]",development / mine infrastructure (подготовительные и вспомогательные выработки),P10,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,не указано,"Equipment chapter; pages 222-223 (ПДМ ПД-3..ПД-8В, ПД-8РВ, лебедки 2С, табл. 9.1) skimmed as equipment specifications."
EV-VN-S037-1204,VKM-SRC-037,"p225 [§9.2 «Оборудование рудничного транспорта»: конвейеры КЛК-1-100, КЛК-2-100, 1Л120, 2Л120, СП-301; машины 1ВОМА, 1ВЛГА, «Минка», «Мули-Т»; погрузочные пункты ППК-1500, ППК-4; дробилка ДКЗ]",extraction → haulage (рудничный транспорт),P11,keyword rule on stage text,FACT,VKM_REGIONAL,HIGH,не применимо,"Equipment only; no subsidence/geomechanics content. Values for КЛК visually confirmed (render p225). Pages 224, 226-228 (конвейеры, машины для доставки материалов и перевозки людей, погрузочные пункты, дробилка) skimmed as equipment specifications."
EV-VN-S037-1242,VKM-SRC-037,"p233 [Содержание, с. 464-465, гл. 2]",late-stage extraction of remaining reserves (отработка оставшихся запасов) as of ~1990,P22,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,состояние на 1990 г. (утверждение руководства 12.12.1990),Interpretation of section titles (status FACT for the titles; the lifecycle reading is the reader's). Complements EV-MIN-1310.
EV-VN-S038-0041,VKM-SRC-038,p1 [весь текст],closure/flooding (accidental) -> dissolution of pillars -> accelerated surface deformation / sinkhole hazard,P20,explicit (cited in stage row),FACT,BKPRU1,HIGH,сотни суток (180–210 сут до донасыщения) – годы,OOD/failure scenario for SKRU-1 world.
EV-VN-S040-0104,VKM-SRC-040,p36 [§1.3],closure/flooding -> post-flooding sinkholes and continued subsidence,P20,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,months (1986: Jan->Jul) to years (2006->2007..2015),
EV-VN-S040-0121,VKM-SRC-040,"p17 [§1.2.1-1.2.2, p.17-26]",shaft construction (sinking through water-bearing overburden),P06,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,"years of sinking (e.g., SKRU-2 shaft 5: 1985-1988); lining degradation over 6-20+ years",
EV-VN-S040-0228,VKM-SRC-040,p104 [гл. 3 p.87–104],underground observation – shaft lining diagnostics,I11,explicit (cited in stage row),FACT,VKM_REGIONAL,HIGH,эпизодические обследования (часы–смены),
EV-VN-S040-0446,VKM-SRC-040,p141 [§5.2],long-term evolution of interchamber pillars after formation (post-extraction creep and rim damage),P16,explicit (cited in stage row),FACT,SKRU3,LOW,"years (pillars aged ~0-5 yr at survey: КС 2011, КрII 2014, АБ/В 2015-16)",
EV-VN-S040-0447,VKM-SRC-040,p142 [§5.3],development / drivage of workings,P10,explicit (cited in stage row),FACT,VKM_REGIONAL,MEDIUM,days-weeks per working,
EV-VN-S040-0448,VKM-SRC-040,p144 [§5.4 + Заключение п.4],backfill of mined chambers,P14,keyword rule on stage text,FACT,VKM_REGIONAL,MEDIUM,after chamber extraction; delay not stated,
EV-VN-S040-0449,VKM-SRC-040,p147 [Заключение п.4],shaft maintenance (lining diagnostics -> drilling verification -> void remediation),I11,explicit (cited in stage row),FACT,SKRU3,HIGH,survey days; remediation afterwards,
