dc_id,data_class_ru,physical_event_time,measurement_time,processing_time,publication_time,availability_to_forecast,typical_latency,latency_status,latency_method,producer,storage,access,temporal_resolution,spatial_support,leakage_risk,leakage_mechanism,benchmark_rule,forecaster_role,skru1_status,worldspec_mapping,source_ids,vn_ids,status,confidence,locators,scope,scale,notes,quote_vn_id
DC21,"Продукты InSAR (парные карты, суммарные сезонные скорости, PS/SBAS/IPTA-ряды)",движение поверхности в интервале между сценами,пары 11/22/33 сут; сезонные суммы 165–187 сут; сезонные блоки 2011–2016,оперативно каждые 11 сут в сезоне (ИФЗ РАН); стековые методы — после накопления ≥12–15 (SBAS) / десятков (PS) сцен; результаты меняются при расширении стека,статьи 2021–2023 (данные 2020–2022); презентация ≥2021 (данные 2011–2016); ВКР — готовые продукты стороннего обработчика,"у обработчика/заказчика — в сезон (11-сут цикл) или после сезона; вне — через публикации (~1,5–3 года)",11 сут (оперативно); сезон (стек); 1–3 года (публикация),DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ПНИПУ (2008–2016); ИФЗ РАН + ГИ УрО РАН (2020–2022),у обработчиков; не публикуется как данные,INTERNAL/CONTRACT,11–33 сут в сезоне; зимний разрыв 6–7 мес,PS-точки / пиксели; LOS одной орбиты,HIGH,переобработка стека с будущими сценами меняет прошлые значения; полиномиальная «сшивка» зимних разрывов использует последующий сезон; детрендинг/опорная точка выбираются по всему периоду,"хранить «винтаж» обработки: на t0 допустим только продукт, обработанный по сценам ≤ t0 и выпущенный ≤ t0 (EXTERNAL: выпуск = публикация); межсезонные связки — MODEL_CHOICE; «оседания» из LOS одной орбиты — пересчёт при u_h≈0 (MODEL_CHOICE), изолинии — INTERPOLATION","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: карта 2011 (TSX, «Сильвинит»; период на рисунке не напечатан, значения по зонам нечитаемы), ряд точки 2011–2016 и карта скоростей 2016 (слайды ПНИПУ SRC-002 — discovery-only, первичная публикация не найдена); всё — однопроходные LOS-данные, «оседания» = пересчёт при u_h≈0 (MODEL_CHOICE), изолинии скоростей — интерполяция, межсезонная сшивка — MODEL_CHOICE; мониторинг ИФЗ РАН 2020–2022 — СКРУ-2 и Березники, покрытие СКРУ-1 не указано","ObservationSystem(modality=insar); ObservationOperatorSpec(state_inputs=u, world_inputs=LOS); DATA_PROCESSING event",VKM-SRC-001; VKM-SRC-002; VKM-SRC-003; VKM-SRC-004; VKM-SRC-023; VKM-SRC-010,EV-VN-S003-0113; EV-VN-S003-0078; EV-VN-S003-0106; EV-VN-S003-0146; EV-VN-S002-0031; EV-VN-S002-0066; EV-VN-S004-0013; EV-VN-S023-0017; EV-VN-S023-0049; EV-VN-S003-0405; EV-VN-S010-0019,FACT,HIGH,VKM-SRC-003 p33; VKM-SRC-003 p23; VKM-SRC-003 p31; VKM-SRC-003 p42; VKM-SRC-002 p14; VKM-SRC-002 p12; VKM-SRC-004 p2; VKM-SRC-023 p4; VKM-SRC-023 p17; VKM-SRC-003 p117; VKM-SRC-010 p8,VKM_REGIONAL; GENERAL_METHOD; SKRU1; OTHER_VKM_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S003-0078
DC22,"Подземные наблюдательные станции (контурные и глубинные реперы), конвергенция камер, поперечная деформация целиков",деформирование выработок/целиков после выемки,циклы ≤3 мес (аналог: 13 циклов 01.2023–09.2025); станция БКПРУ-4 11.2013–12.2020; окна измерений ограничены работой транспорта,"после каждого цикла: высоты, координаты, деформации, скорости; годовой отчёт",внутренние отчёты; статья 2023; ВКР 2026,внутри — после цикла; вне — по запросу надзорных/проектных/научных организаций,цикл (≤3 мес) + обработка; публикация 3–4 мес – годы,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",маркшейдерская служба; ГИ УрО РАН,архив предприятия (бессрочно),INTERNAL,циклы,"сечения выработки, скважины с глубинными реперами",MEDIUM,нулевой отсчёт берётся после начала деформаций (разный для сечений); глубинный репер сам подвижен,хранить эпоху установки каждого репера относительно даты выемки; относительность отсчёта — в операторе,"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: опубликованных станций нет,ObservationSystem(modality=underground_station/convergence),VKM-SRC-034; VKM-SRC-024,EV-VN-S034-0042; EV-VN-S024-0146; EV-VN-S024-0160; EV-VN-S024-0171; EV-VN-S024-0187; EV-VN-S024-0201; EV-VN-S024-0217; EV-VN-S024-0442; EV-VN-S024-0463,FACT,HIGH,VKM-SRC-034 p4; VKM-SRC-024 p55; VKM-SRC-024 p61; VKM-SRC-024 p65; VKM-SRC-024 p72; VKM-SRC-024 p77; VKM-SRC-024 p81; VKM-SRC-024 p135; VKM-SRC-024 p154,VKM_REGIONAL; GENERAL_METHOD; OTHER_POTASH_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S024-0160
DC23,"Георадиолокация, ультразвуковая томография, акустика (крепь стволов, целики, гипсометрия пласта, полнота закладки)",состояние крепи/целиков/закладки на дату съёмки,"2004 (ствол БКПРУ-1), 2014 (ствол 5 СКРУ-2), 2015–2016 (СКРУ-3), пилот гипсометрии (даты не указаны), пилот закладки с 2017",RadExplorer/RADAN; верификационное бурение,отчёты НИР 2009–2015; статьи 2014–2016; диссертация 2017; статья 2026,закрытые отчёты НИР; опубликованы примеры; радарограммы не публикуются,1–3 года,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ВНИИ Галургии / Галургия; ПГНИУ; Уралкалий,архивы ВНИИ Галургии/Уралкалия,RESTRICTED,"эпизодически (одиночные съёмки, повторов нет)",профили длиной метры–десятки м,LOW,одиночные снимки; интерпретация проверяется бурением (4 из 14 аномалий подтверждены — ложноположительные),available_from = дата съёмки (внутр.) / публикации (внешн.),"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: данных нет (СКРУ-3, СКРУ-2)",ObservationSystem(modality=gpr/ultrasonic),VKM-SRC-040; VKM-SRC-015; VKM-SRC-011,EV-VN-S040-0015; EV-VN-S040-0086; EV-VN-S040-0095; EV-VN-S040-0096; EV-VN-S040-0278; EV-VN-S040-0344; EV-VN-S040-0382; EV-VN-S015-0033; EV-VN-S015-0102; EV-VN-S011-1454,FACT,HIGH,VKM-SRC-040 p8; VKM-SRC-040 p26; VKM-SRC-040 p34; VKM-SRC-040 p119; VKM-SRC-040 p136; VKM-SRC-040 p147; VKM-SRC-015 p5; VKM-SRC-015 p15; VKM-SRC-011 p70,VKM_REGIONAL; SKRU2; SKRU3,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S040-0344
DC24,"Визуальные осмотры и журналы (кровля, выработанное пространство, стволы; журналы смен; натурные обследования устойчивости)",состояние кровли/крепи,каждая смена (журналы); периодические осмотры; обследование 350 сечений до 1990,качественно; статистика по сечениям,агрегаты 1992; не публикуется,внутри рудника; качественные,смена (внутри),DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",горный мастер; маркшейдерская/геологическая служба,журналы участков,INTERNAL,смена,выработка,LOW,"качественные, не архивируются количественно","использовать только как события (категории), не как величины","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: нет,EventType.ROOF_FALL/OTHER,VKM-SRC-020; VKM-SRC-040; VKM-SRC-037; VKM-SRC-011,EV-VN-S020-0393; EV-VN-S040-0356; EV-VN-S037-0673; EV-VN-S040-0086; EV-VN-S011-0629,FACT,MEDIUM,VKM-SRC-020 p214; VKM-SRC-040 p140; VKM-SRC-037 p109; VKM-SRC-040 p26; VKM-SRC-011 p34,VKM_REGIONAL; BKPRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S040-0356
DC25,Газовый и вентиляционный контроль; ПЛА (план ликвидации аварий) и акты к нему,газовая обстановка; ввод/закрытие участков,"замеры ≥2–3 раза в смену; вентиляционные съёмки периодически; ПЛА — каждые полгода, поправки ≤1 сут при вводе/закрытии участков",оперативно,не публикуется; сводные таблицы без дат (2013),внутри; ПЛА фиксирует активные/закрытые участки с точностью до суток,сутки,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",участок вентиляции; ВГСЧ; главный инженер,"рудник, ВГСЧ",INTERNAL,смена / полгода,рабочие зоны,LOW,—,ПЛА — потенциальный источник датировки закрытия/ввода участков (proxy хронологии выемки),"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: вентиляционная съёмка (табл. 2.5, без даты)",EventType.OTHER (закрытие/ввод участков),VKM-SRC-020; VKM-SRC-014,EV-VN-S020-0233; EV-VN-S020-0456; EV-VN-S020-0459; EV-VN-S014-0399,FACT,HIGH,VKM-SRC-020 p81; VKM-SRC-020 p266; VKM-SRC-020 p268; VKM-SRC-014 p50,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S020-0456
DC26,"Натурные измерения напряжений и испытания в массиве (гидродомкрат + АЭ, прессиометр, БП-18)",напряжённое состояние на момент измерения,кампании ~2010–2018 (даты в главах не приведены); ≤1997–2000 первые публикации,быстро (метод отличается скоростью получения результата),статьи 1997–2014; диссертация 2018/2019,опубликованные средние; первичные записи — ГИ УрО РАН,годы,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ГИ УрО РАН,ГИ УрО РАН,INTERNAL,кампании,скважина в выработке/целике,LOW,возраст выработки к моменту измерения не указан,available_from = дата публикации,"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: испытание хрупкости БП-18 (карналлит), место/дата не указаны",stress_measurement; EventType.OTHER,VKM-SRC-029; VKM-SRC-025,EV-VN-S029-0017; EV-VN-S029-0105; EV-VN-S029-0281; EV-VN-S029-0368; EV-VN-S025-1010,FACT,MEDIUM,VKM-SRC-029 p10; VKM-SRC-029 p60; VKM-SRC-029 p144; VKM-SRC-029 p156; VKM-SRC-025 p175,VKM_REGIONAL; GENERAL_METHOD; OTHER_POTASH_SITE; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S029-0105
DC27,"Аварии и события (ГДЯ, обрушения, прорывы вод, провалы, наведённые землетрясения)",точная дата события (напр. 05.01.1995; 17.10.2006; 1986),"в момент/после события (обследования, притоки ежедневно)","комиссии, отчёты",годы после (таблицы ГДЯ 1968–1989 → 1992; сводки аварий → 2008),оператору — немедленно; внешнему — через публикации (1–5 лет),событие → публикация 1–5 лет,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","рудник, комиссии, ГИ УрО РАН",архивы,INTERNAL/PUBLIC,события,выработка/поле,MEDIUM,"событие известно сразу, но его последствия (оседание, провалы) — позже; дата события ≠ дата публикации",события — EventType.* с event_date; available_from = event_date только если модель предполагает доступ к внутренней информации оператора (иначе = дата публикации),"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: одно ГДЯ на Кр-II 1987 (1092 т); провал у м/ш целика 1995 (сторона СКРУ-2),EventType.DYNAMIC_EVENT/COLLAPSE/WATER_INFLOW/FLOODING,VKM-SRC-037; VKM-SRC-012; VKM-SRC-025; VKM-SRC-040,EV-VN-S037-0508; EV-VN-S037-0514; EV-VN-S012-0160; EV-VN-S012-0600; EV-VN-S025-0213; EV-VN-S040-0104,FACT,HIGH,VKM-SRC-037 p80; VKM-SRC-037 p81; VKM-SRC-012 p33; VKM-SRC-012 p113; VKM-SRC-025 p20; VKM-SRC-040 p36,VKM_REGIONAL; SKRU2; SKRU1; OTHER_VKM_SITE,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S037-0514
DC28,"Зонирование опасности (категории участков по ВЗТ), модельные прогнозы и калибровки (МКЭ), расчётные карты оседаний",прогнозируемое состояние (будущее),"вход: нивелирование, геофизика, нагрузка на целики",обновление зонирования ~раз в 5 лет и при изменении условий; расчёты МКЭ ≈2020–2022 с калибровкой по нивелированию,"внутренние карты; примеры 2009, 2022, 2023, 2024",внутренние документы ГИ УрО РАН/Уралкалия; опубликованные примеры,оценка → публикация ~2 года; цикл обновления ~5 лет,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ГИ УрО РАН; ПНИПУ; СПГУ,предприятие,INTERNAL,~5 лет,шахтное поле / разрезы,HIGH,калибровка по тем же оседаниям (круговая проверка адекватности); прогноз содержит информацию до даты калибровки,"модельные выходы не являются наблюдениями; как вход — только версии, выпущенные ≤ t0 и калиброванные по данным ≤ t0","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: расчёты по линии 1 (сторона СКРУ-1 без измерений); ANN-классификация ВКР по срезу 2022,MODEL_CHOICE; не ObservationDataset,VKM-SRC-021; VKM-SRC-012; VKM-SRC-038; VKM-SRC-039; VKM-SRC-016; VKM-SRC-023,EV-VN-S021-0016; EV-VN-S021-0045; EV-VN-S012-0497; EV-VN-S012-0558; EV-VN-S012-0593; EV-VN-S038-0040; EV-VN-S039-0023; EV-VN-S016-0033; EV-VN-S023-0377,FACT,HIGH,VKM-SRC-021 p2; VKM-SRC-021 p4; VKM-SRC-012 p93; VKM-SRC-012 p102; VKM-SRC-012 p109; VKM-SRC-038 p6; VKM-SRC-039 p4; VKM-SRC-016 p5; VKM-SRC-023 p68,VKM_REGIONAL; UNSTATED; SOLIKAMSK_GROUP; BKPRU1; NON_VKM; BKPRU4; SKRU1,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S012-0558
DC29,"Производные поля оседаний предприятия (изолинии, интерполированные растры, зональная статистика)",накопленное оседание (базовая эпоха не указана),«ОСЕДАНИЯ_2022_СКРУ1» — метод измерения и эпоха UNKNOWN,интерполяция изолиний в растр (метод не указан) и зональная статистика студентом (2025–2026),ВКР 2026,"данные предприятия, переданные студенту; сам набор в корпусе отсутствует",2022 → 2026,DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","ПАО «Уралкалий» (исходные изолинии), автор ВКР (производные)",QGIS-проект автора ВКР,INTERNAL,один срез (2022),растр поля СКРУ-1 (изолинии ~100 мм),VERY HIGH,"единичный кумулятивный срез = цель; интерполяция ≠ наблюдение; неизвестная база; признаки (закладка, отработка) взяты с того же среза","не использовать как признак; как цель — только с флагом INTERPOLATION, датой среза и после восстановления метода; EXTERNAL (по умолчанию): available_from = дата публикации ВКР (не ранее 2026), 2022 — дата среза, не публикации","EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: единственное «полевое» поле оседаний по всему шахтному полю (0–4300 мм), статус — производный продукт","Provenance.status=INTERPOLATION (method, inputs обязательны — сейчас UNKNOWN)",VKM-SRC-023; VKM-SRC-011; VKM-SRC-012,EV-VN-S023-0204; EV-VN-S023-0292; EV-VN-S023-0380; EV-VN-S023-0448; EV-VN-S023-0360; EV-VN-S011-0664; EV-VN-S012-0147,FACT,HIGH,VKM-SRC-023 p40; VKM-SRC-023 p45; VKM-SRC-023 p73; VKM-SRC-023 p97; VKM-SRC-023 p64; VKM-SRC-011 p36; VKM-SRC-012 p32,SKRU1; BKPRU1; SKRU2,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S023-0292
DC30,"Публикации, диссертации, монографии, учебные пособия, ВКР, фондовые отчёты НИР",описываемые события/измерения (разные эпохи),данные прошлых лет,обобщение авторами,дата выхода/подписания в печать/защиты,с даты публикации (для внешнего пользователя); фондовые — ограниченно,типично 1–5 лет; до десятилетий (геологические сведения учебника 1998 опираются на 1977–1979; монография 2013 наследует 2001),DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT","ВНИИГ, ГИ УрО РАН, ПНИПУ, ИФЗ РАН, студенты и др.",библиотеки; корпус проекта,PUBLIC/RESTRICTED,события публикации,—,HIGH,дата публикации ≠ дата измерения; ретроспективные анализы (прекурсор распознан после события) не были доступны на t0,для каждого значения хранить measurement_date и publication_date; available_from ≥ publication_date для внешнего прогнозиста,"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",—,EventType.PUBLICATION; TemporalSupport.publication_date,VKM-SRC-011; VKM-SRC-037; VKM-SRC-014; VKM-SRC-020; VKM-SRC-040; VKM-SRC-010; VKM-SRC-012,EV-VN-S011-3063; EV-VN-S037-1250; EV-VN-S014-1272; EV-VN-S020-0003; EV-VN-S040-0445; EV-VN-S012-0744; EV-VN-S010-0009,FACT,HIGH,VKM-SRC-011 p155; VKM-SRC-037 p236; VKM-SRC-014 p265; VKM-SRC-020 p2; VKM-SRC-040 p154; VKM-SRC-012 p129; VKM-SRC-010 p3,VKM_REGIONAL; GENERAL_METHOD; NON_VKM,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S010-0009
DC31,"Опорные геодезические сети, системы координат и высот (datum)",закладка пунктов; привязки,"этапы развития сети (аналог: 1970–1982, 2007, 2008, 2012–2013, 2018)",уравнивание; каталоги координат и высот,внутренние каталоги,внутренние; местная СК СКРУ-1 без публичных ключей перехода,базовая станция 2012–2013 точно привязана к БСВ-77 только в 2018 г. (~5–6 лет эксплуатации без точной привязки высот; аналог),DERIVATION,"интервалы и диапазоны — сопоставление или разность напечатанных дат и обобщение по перечисленным записям (вычислено потоком, в источниках так не напечатано; CHRONOLOGY-025); сами даты — FACT",ГУГК; подрядчики; маркшейдерский отдел,каталоги координат,INTERNAL,эпохи сети,пункты сети,LOW,смена datum/привязки создаёт кажущиеся смещения; ручная привязка ВКР к OSM — ошибка неизвестна,хранить версию datum; координаты ВКР — не геодезического класса,"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора","СКРУ-1: местная СК (не названа); отметки горизонтов −113, −143, −240 м без названия системы высот",crs_id; SpatialSupport,VKM-SRC-024; VKM-SRC-020; VKM-SRC-023; VKM-SRC-012; VKM-SRC-014,EV-VN-S024-0059; EV-VN-S020-0261; EV-VN-S023-0207; EV-VN-S012-0570; EV-VN-S014-0456,FACT,HIGH,VKM-SRC-024 p25; VKM-SRC-020 p107; VKM-SRC-023 p40; VKM-SRC-012 p105; VKM-SRC-014 p77,OTHER_POTASH_SITE; GENERAL_METHOD; SKRU1; SOLIKAMSK_GROUP,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S023-0207
DC32,"Решения по защите/последствиям (отселение, снос, ограждение, закладка-вмешательство, «мокрая» ликвидация)",решение и его исполнение,—,по результатам мониторинга/зонирования,упоминания в статьях 2022–2024,решения — реакция на наблюдённые оседания,UNKNOWN,UNKNOWN,латентность в источниках не указана,"Уралкалий, органы власти, ГИ УрО РАН",—,PUBLIC (факт) / INTERNAL,события,здания/участки,HIGH,решения обусловлены будущими для t0 наблюдениями; прерывают ряды наблюдений (цензурирование); закладка-вмешательство меняет динамику (участок 2: 2019–2020),решения и вмешательства — события с датой (BACKFILL_*); EXTERNAL (по умолчанию): известны с даты публикации сведения о них; OPERATOR — с даты решения при свидетельстве; решения после t0 не используются; цензура рядов — явный флаг,"EXTERNAL (по умолчанию: внешний исследователь без доступа к внутренним данным предприятия; D-03, D-16); OPERATOR — только если бенчмарк явно объявит роль оператора",СКРУ-1: нет данных,EventType.OTHER/BACKFILL_*,VKM-SRC-003; VKM-SRC-017; VKM-SRC-021; VKM-SRC-034,EV-VN-S003-0255; EV-VN-S017-0067; EV-VN-S021-0047; EV-VN-S034-0043,FACT,MEDIUM,VKM-SRC-003 p69; VKM-SRC-017 p1; VKM-SRC-021 p5; VKM-SRC-034 p2,OTHER_VKM_SITE; BKPRU1; VKM_REGIONAL,NOT_APPLICABLE,"строка — синтез по перечисленным vn_ids; scope — объединение scope записей (D-17); СКРУ-1 — см. skru1_status; даты — как напечатаны в источниках; интервалы латентности — см. latency_status / latency_method (разность напечатанных дат или обобщение = DERIVATION, CHRONOLOGY-025); benchmark_rule — правило проекта для роли forecaster_role (D-03, D-16, VALIDATION_POLICY §5), а не утверждение источника",EV-VN-S003-0255
