vn_id,source_id,locator,data_class_as_extracted,dc_id,mapping,status,scope,confidence,availability_as_extracted,latency_as_extracted,notes
EV-VN-S011-2082,VKM-SRC-011,p129 [стр. 257],прогноз внезапных выбросов соли и газа (ВВСГ),DC27,manual override (reviewed),FACT,VKM_REGIONAL,MEDIUM,до отработки участка,"статистические модели, не генетические",
EV-VN-S011-2086,VKM-SRC-011,p130 [стр. 259],levelling campaign along profile lines (ground benchmarks),DC17,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,данные наблюдений принадлежат ОАО «Сильвинит»/ОАО «Уралкалий» (маркшейдерские службы),архивные наблюдения использованы через ~20 лет,
EV-VN-S011-2101,VKM-SRC-011,p131 [стр. 261],зоны замещения каменной солью (геологическая неоднородность продуктивных пластов),DC02,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,фактически только по мере вскрытия выработками — т.е. информация появляется синхронно с горными работами,нет методики прогноза до вскрытия,
EV-VN-S011-2470,VKM-SRC-011,"p137 [Литература №89, 100, 227, 229]","early exploration reports (boreholes, hydrogeology) of the Solikamsk district",DC01,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,published within ~1–2 years of fieldwork,report-publication latency ~1–2 years in 1920s–30s,
EV-VN-S011-2649,VKM-SRC-011,p142 [Прил. 1],fault interpretations from gravimetry/magnetometry/morphometry/electrometry/geology/seismic,DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,mostly unpublished reports; catalogue available from 2013 (or 2004),fault axes carry interpretation error; for fault 98 author estimates ≈150 m axis offset vs subsidence maximum,
EV-VN-S011-2686,VKM-SRC-011,p147 [Прилож. 2 «История открытия и освоения месторождения»],exploration borehole logs (surface drilling) of VKM,DC01,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"only via archive geological reports / later syntheses; a 3D model at SKRU-1 depends on detailed-exploration (Соликамский участок, 1961) borehole grid ~1 km","decades between drilling and consolidated contours (contour maps 1929, 1933, 1960, 1966, 2005)",
EV-VN-S011-2775,VKM-SRC-011,p154 [Прилож. 3 «Павел Иванович Преображенский»; перечень публикаций],early hydrogeological observations of Solikamsk salt district,DC10,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,historical literature only,published 3-9 years after observation,
EV-VN-S011-3063,VKM-SRC-011,p155 [Прилож. 4 «Библиография по геологии Верхнекамского месторождения солей» (сост. на 01.01.2013)],published literature on VKM geology,DC30,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,published sources; many in local proceedings (Пермь/Березники/Соликамск) with limited accessibility; unpublished geological fund reports not included,"conference abstracts often re-published as papers 1-3 yr later (duplicates in list, e.g. Бачурин 1989/1991, Бельтюков-Булатов 1992/1993)",
EV-VN-S011-3066,VKM-SRC-011,p159 [Прилож. 4 «Библиография по геологии Верхнекамского месторождения солей» (сост. на 01.01.2013); A4-192],exploration borehole core description (petrography),DC01,explicit (cited in DC row),FACT,UNSTATED,HIGH,since 1960 via Тр. ВНИИГ вып.40,~10 years drilling->publication,
EV-VN-S011-3387,VKM-SRC-011,"p163 [Прилож. 4 «Библиография по геологии Верхнекамского месторождения солей» (сост. на 01.01.2013); A4-398, A4-421, A4-340, A4-271]",exploration (surface borehole) geology vs exploitation (in-mine) geology,DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,"exploration model available before mining; in-mine data accrue during extraction (underground mapping — e.g. Голубев, Бровченко 1981; sampling in First-mine workings — Иванов 1934)",geological model of a mine field is updated as workings advance; discrepancies between exploration and mining data are a studied topic,Synthesized from titles only; content of cited works not in this chunk.
EV-VN-S011-3502,VKM-SRC-011,"p166 [Прилож. 4 «Библиография по геологии Верхнекамского месторождения солей» (сост. на 01.01.2013); A4-547, A4-557, A4-549..A4-554]",exploration borehole core (potash seams),DC01,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,surface-exploration model known before mining; corrected by mine (рудничная) exploration and sampling during development,core-loss bias (selective destruction of sylvinite/carnallite cores) means borehole picks/grades are biased until checked by in-mine data,Synthesized from titles only.
EV-VN-S011-3752,VKM-SRC-011,"p168 [Список литературы (раздел «Приложения»); entries Преображенский 1927, 1929; Поленова, Колотов 1929 (p.167)]","early exploration reports (drilling/field-lab results of the Solikamsk exploration party, Геолком)",DC01,explicit (cited in DC row),DERIVATION,VKM_REGIONAL,MEDIUM,historical printed series 'Материалы по общей и прикладной геологии' (Геологический комитет); not in project corpus,season end → printed report ≈1–2 years (from cited dates only),Latency is read from the dates printed in the titles vs issue year; no computation beyond year difference.
EV-VN-S011-3755,VKM-SRC-011,"p167 [Список литературы (раздел «Приложения»); entries Новиков 1989/1991, Филиппов 1989/1991, Филиппов & Ковальчук 1989/1991 (pp.167, 170-171)]","research on the water-protective stratum (ВЗТ/WBT): filtration structure of supra-salt aquifer complex, dilution/replacement zones, mine-brine hydrochemistry",DC02,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,grey literature (meeting abstracts/proceedings); not in corpus,,"Duplicate conference versions (1989 abstracts → 1991 full proceedings) of the same studies are visible (e.g., Новиков В.П. same title 1989 and 1991)."
EV-VN-S011-3970,VKM-SRC-011,p186 [English SUMMARY 4 Geological aspects of deposit development],"exploration borehole data (geometry) and core laboratory tests (gas, strength, KCl, I.C., technological properties); regulated estimates (abnormal WBT structure, gas-dynamic forecast, reserves categories)",DC01,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,available before mining from exploration reports; replacement zones detectable ONLY by exploration workings/boreholes (Russian p.131: no forecasting method yet),,English SUMMARY (author's translation/abridgement of the Russian text); ~60% of the factor weight is directly observable from boreholes/core; the rest estimated by regulated procedures.
EV-VN-S012-0017,VKM-SRC-012,p10 [Введение (pp.5-10)],dissertation-level geological-geomechanical model (Vp-based property field + FEM NDS forecast),DC09,keyword rule on data_class,FACT,SOLIKAMSK_GROUP,MEDIUM,public dissertation from 2023; underlying borehole logs and Uralkali survey data are company data not published in full,model is a research product created decades after exploration drilling,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0160,VKM-SRC-012,"p33 [§1.4.2 (1995 event, [42])]",accident investigation / macroseismic survey + pre-existing exploration boreholes,DC27,explicit (cited in DC row),FACT,SKRU2,MEDIUM,published literature; underlying survey data held by Uralkali/GI UrO RAN,event-to-publication latency unknown from this chunk,
EV-VN-S012-0164,VKM-SRC-012,p26 [Табл. 1.1-1.2 [69]; §1.1 (1.2)],"normative document (Указания [69]: pillar width formula (1.2), 55° angle, Abel kernel α, δ, Gc, Tables 1.1-1.2)",DC11,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,"available to design engineers from approval date; values are design constants, not measurements",normative values change only with new editions,
EV-VN-S012-0165,VKM-SRC-012,p25 [§1.4.1 [8]],"lab tests of VKM salt rocks (UCS, E, failure strain, softening modulus, creep ≈40 days, long-term strength)",DC03,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,"after publication of [8]; specimen-level, not massif",lab data are specimen scale; transfer to massif requires scale factor,
EV-VN-S012-0181,VKM-SRC-012,p35 [§1.4.3],surface CDP seismic monitoring profiles,DC05,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,through GI UrO RAN reports/papers; qualitative,not stated,
EV-VN-S012-0195,VKM-SRC-012,p40 [§2.1-2.2],levelling campaign on profile lines (observation station),DC17,explicit (cited in DC row),FACT,SKRU2,HIGH,after each campaign via mine-surveying service (Uralkali) or PNIPU,not stated,область: SKRU1_SKRU2 → SKRU2 (D-17; кампании наблюдательной станции со стороны СКРУ-2 (p.40))
EV-VN-S012-0201,VKM-SRC-012,p41 [§2.1 pp.41-42],levelling campaign,DC17,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,only at campaign epochs; revisit interval depends on previous observed rate (adaptive sampling),sampling interval itself is a function of process state,
EV-VN-S012-0248,VKM-SRC-012,p53 [§2.3 p.53],levelling campaign (Uralkali line 8),DC17,explicit (cited in DC row),FACT,SKRU2,HIGH,cadence regime shift in 2015 (after 2014 sinkhole) changes information density,,
EV-VN-S012-0284,VKM-SRC-012,"p57 [§2.5 п.1; pp.34, 48-53]",surface levelling near intermine pillars (two producers),DC17,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,HIGH,two independent data streams with different accuracy classes (IV vs II) on partly coinciding alignments,,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; нивелирование у обоих целиков (СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3), два исполнителя)"
EV-VN-S012-0292,VKM-SRC-012,p61 [§3.1 p.61],exploration borehole: core + lab tests + acoustic log,DC04,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,only for boreholes with both core tests and acoustic logs; historical salt-exploration boreholes typically have logs only,,
EV-VN-S012-0309,VKM-SRC-012,"p63 [§3.2 pp.63, 66]",salt-exploration / structural borehole geological descriptions,DC01,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,HIGH,"historical archive tables (depth, thickness, core recovery); no drilling dates, no collar elevations in this chunk",,область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; скважины района м/ш целиков (табл. 3.1))
EV-VN-S012-0409,VKM-SRC-012,p70 [§3.3],"borehole geophysical logs (АК, ГК, НК)",DC04,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,MEDIUM,"legacy logs partly only as raster images (234с, 1036) -> digitization needed; 1403 unusable",legacy data reused decades after drilling,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0439,VKM-SRC-012,p76 [§3.4],lab test of core (static strength/deformability) + acoustic logs,DC04,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,institutional lab reports; not public,,
EV-VN-S012-0497,VKM-SRC-012,p93 [§4.1],FE model forecast of pillar-area SDS / subsidence,DC28,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,MEDIUM,only as figures in dissertation; model files not published,forecast issued ~2–3 years after the 2020 calibration state,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0527,VKM-SRC-012,p99 [§4.2],geomechanical property model (pre-mining state),DC28,keyword rule on data_class,FACT,SOLIKAMSK_GROUP,MEDIUM,properties of undisturbed massif only; no measurements of property evolution over 40–50 years,decades between mining start and property model,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0558,VKM-SRC-012,p102 [§4.2 p.102],model effective-property degradation (derived from levelling),DC03,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,HIGH,only after levelling campaign is processed; degradation factors are a posteriori calibration to the same levelling data (circular if used for validation),calibration target = accumulated benchmark subsidence of profile lines,"Leakage warning for benchmark: model parameters tuned to the same levelling observations.; область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0593,VKM-SRC-012,p109 [§4.3 p.109],levelling-derived subsidence rates used for model calibration,DC17,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,MEDIUM,after each annual levelling campaign; used as calibration target for forecast parameters,rates computed per profile line over 5-year window,область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; скорости по линиям №1 и №2)
EV-VN-S012-0610,VKM-SRC-012,p116 [Заключение п.4 p.116],acoustic logging (Vp) of salt-exploration boreholes -> 3D property model,DC04,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,MEDIUM,logs exist before mining; the 3D model is an author/PNIPU product not public,properties represent pre-mining state; post-mining change not measured,"область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; район м/ш целиков СКРУ-1–СКРУ-2 и СКРУ-2–СКРУ-3 (модель/выборка по району трёх рудников, SRC-012))"
EV-VN-S012-0686,VKM-SRC-012,p120 [Список литературы [25]],normative document regulating surface-movement levelling at Uralkali mines,DC11,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,internal document; governs how observation-station levelling is done (used by author §2.1),,
EV-VN-S012-0736,VKM-SRC-012,p130 [Прил. А p.130],mine levelling data of profile lines near СКРУ intermine pillars (Uralkali) -> contracted research analysis,DC17,explicit (cited in DC row),FACT,SOLIKAMSK_GROUP,MEDIUM,levelling data held by ПАО «Уралкалий»; provided to PNIPU under contract; latency ~1-3 years to publication,last epoch used ≈2020; contract Feb 2021,область: SKRU1_SKRU2 → SOLIKAMSK_GROUP (D-17; данные нивелирования линий у м/ш целиков (договор 2021))
EV-VN-S012-0744,VKM-SRC-012,p129 [Прил. А–Б pp.129-131],"dissertation and derived products (act of use, patent application)",DC30,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,dissertation text public (defence); underlying Uralkali levelling and the IRAP RMS model not public,,
EV-VN-S014-0004,VKM-SRC-014,p2 [annotation/colophon],teaching compilation of mining-technology descriptions (VKM mines) and calculation methods,DC30,manual override (reviewed),FACT,VKM_REGIONAL,HIGH,public book since 2013,descriptions of mine state are secondary/compiled; exact date of described technological schemes not always stated,
EV-VN-S014-0028,VKM-SRC-014,p10 [§1.1],exploration borehole logs (deposit-scale),DC01,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,borehole locations only schematic in Рис.1.1; logs not in this book,,
EV-VN-S014-0323,VKM-SRC-014,p25 [Табл. 1.1],gas content/composition of seams (lab/field gas sampling),DC25,keyword rule on data_class,UNKNOWN,SKRU1,HIGH,published table only,no sampling dates or n,
EV-VN-S014-0352,VKM-SRC-014,p28 [§2.1-2.2],mine-field boundaries / mining allotment (горный отвод) geometry,DC12,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,dimensions only; polygons require mine survey plans,allotment boundaries of SKRU-2 changed ('новые границы') — boundaries are time-dependent,
EV-VN-S014-0388,VKM-SRC-014,p39 [Табл. 2.1–2.3],shaft/hoist technical passports,DC12,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,published; per-shaft depth/position not given,no date of the table state,
EV-VN-S014-0399,VKM-SRC-014,p50 [Табл. 2.5],mine air-depression survey (ventilation survey),DC25,explicit (cited in DC row),FACT,SKRU1,HIGH,summary only,periodic mine ventilation surveys; exact dates absent,
EV-VN-S014-0426,VKM-SRC-014,p31 [§2.2–2.5 (synthesis)],"mine layout/technology description (panel widths, chamber/pillar sizes, preparation schemes)",DC12,explicit (cited in DC row),FACT,SKRU1,HIGH,"public book; design ranges only, no panel-level as-mined data",design values ≠ as-mined geometry; schematics not to scale,
EV-VN-S014-0450,VKM-SRC-014,p72 [Табл. 2.7],mine ventilation survey (air supply/leakage),DC25,keyword rule on data_class,UNKNOWN,VKM_REGIONAL,LOW,published tables without dates,undated compilation,
EV-VN-S014-0536,VKM-SRC-014,p78 [Рис. 3.1–3.3],"mine plan of remaining balance reserves (seams В, АБ, Кр-II)",DC14,keyword rule on data_class,UNKNOWN,SKRU1,MEDIUM,as schematic figure in a teaching book; underlying mine survey plans held by the mine survey department,No 'as of' date; must be treated as ≤2013 snapshot,
EV-VN-S014-0592,VKM-SRC-014,p99 [Рис. 3.15–3.16],mine plan of mined-out areas per seam (маркшейдерская графическая документация),DC14,explicit (cited in DC row),DERIVATION,BKPRU2,MEDIUM,inside the mine company: after annual survey update (01.01 state); publicly: via 2013 textbook,≈1 year from state date to public print; state dated to 01 Jan (annual reporting cut-off),
EV-VN-S014-0674,VKM-SRC-014,p103 [Рис. 3.18–3.20],mine plan of mined-out areas per seam (incl. rock salt),DC14,explicit (cited in DC row),DERIVATION,BKPRU4,MEDIUM,company: after annual plan update; public: via 2013 book,≤1 year between state date and print,
EV-VN-S014-0805,VKM-SRC-014,"p110 [§3.6, Рис. 3.23]",underground exploration boreholes (core drilling from exploration drifts),DC02,explicit (cited in DC row),DERIVATION,VKM_REGIONAL,MEDIUM,internal to mine; not in public literature,produced before panel development; spatial density tied to niches at crosscuts every 200–250 m,
EV-VN-S014-0859,VKM-SRC-014,"p118 [§4.2 (формула 4.1, табл. 4.1)]",контуры участков смешанных солей пласта АБ и мощность пород между почвой камер Вк и контактом смешанных руд (геологическая документация горных работ),DC02,manual override (reviewed),UNKNOWN,SKRU1,LOW,only through mine geological service documentation; not in this source,UNKNOWN,Source states the criterion but not how/when the mixed-salt contours are mapped.
EV-VN-S014-0908,VKM-SRC-014,p138 [§5.1],акт обследования камеры перед закладкой (backfill record),DC16,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,only via mine internal records (not in this source),UNKNOWN,
EV-VN-S014-0964,VKM-SRC-014,p160 [§6.3 (and p.161 in next chunk)],степень заполнения камер закладкой (backfill completeness record),DC16,explicit (cited in DC row),UNKNOWN,VKM_REGIONAL,LOW,only via mine backfill records / annual balances; not in this source,UNKNOWN,
EV-VN-S014-0967,VKM-SRC-014,p113 [гл. 4],типовые технологические схемы очистной выемки (design documents),DC12,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,как типовые схемы — доступны; фактическая (исполненная) геометрия камер — только по маркшейдерским планам горных работ рудника,Типовая схема ≠ исполненная геометрия; технологии менялись во времени (замена Урал-20А на Урал-20Р; на БКПРУ-2 ранее Кр-II отрабатывали в один ход с защитной пачкой),
EV-VN-S014-0987,VKM-SRC-014,p161 [§6.3],backfill record (degree of chamber filling),DC16,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,only if mine backfill records (kзап per chamber) are provided; otherwise design/typical values only,"filling degree is an indirect, geometry-based estimate, not a survey measurement",
EV-VN-S014-1116,VKM-SRC-014,p211 [§8.2.4],underground brine seepage observations and hydrochemical/isotope samples,DC10,explicit (cited in DC row),FACT,OTHER_POTASH_SITE,MEDIUM,internal mine safety data; not public,lag = sampling interval + lab turnaround (not quantified),
EV-VN-S014-1123,VKM-SRC-014,p172 [Гл. 7],"design-stage stability prediction of workings (time of stable state Tр, tмп)",DC12,keyword rule on data_class,FACT,VKM_REGIONAL,MEDIUM,"only as design documents; values are predictions, not observations",prediction precedes mining; actual stability observed later by underground inspection (not described),
EV-VN-S014-1218,VKM-SRC-014,p252 [§8.9.1; bibliography [24]–[34]],exploration results / reserve estimates of new potash projects,DC11,keyword rule on data_class,FACT,NON_VKM,HIGH,only via secondary press/web compilations; lag 2–4 years to textbook,"chapter 8 statistics are compiled from 1974–2011 reports and web news; staff counts/production figures reflect mid-2000s (ref [8], 2006)","Information-lifecycle note for chapter 8 as a whole: it is a secondary compilation, not primary data."
EV-VN-S014-1223,VKM-SRC-014,p254 [§8.9.2],seismic survey + exploration borehole data -> seam roof structure,DC05,explicit (cited in DC row),FACT,OTHER_POTASH_SITE,MEDIUM,"through design/exploration reports (Galurgia), not public",,
EV-VN-S014-1272,VKM-SRC-014,p265 [выходные данные (colophon)],practicum (teaching manual) publication — VKM-SRC-014,DC30,explicit (cited in DC row),FACT,GENERAL_METHOD,HIGH,from Feb 2013 (limited print run 100 copies),latest web sources accessed 2011-01-23; so chapter 8 reflects state ≤2011,Rendered p265 at 110 dpi; 'Учебное издание'. Usl. print sheets 22.
EV-VN-S015-0033,VKM-SRC-015,p5 [§Методы],underground GPR survey of roof/floor of workings,DC23,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,internal VNII Galurgii/Uralkali data; published only as example radargrams,acquisition ~500 m/4-h shift; proposed roadheader-mounted system would give real-time hypsometry,
EV-VN-S015-0068,VKM-SRC-015,p10 [§Технические рекомендации],roadheader-mounted GPR hypsometry (proposed),DC23,keyword rule on data_class,MODEL_CHOICE,VKM_REGIONAL,MEDIUM,operator and mine dispatch centre in real time (if implemented); archive policy not stated,minutes,
EV-VN-S015-0102,VKM-SRC-015,p15 [ИНФОРМАЦИЯ ОБ АВТОРАХ],published GPR hypsometry pilot results (VNII Galurgii),DC23,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,publication-level only (3 example 50-m profiles + one drift example); raw radargrams internal to Uralkali/VNII Galurgii,"measurement-to-publication latency unknown, ≥ months",
EV-VN-S015-0108,VKM-SRC-015,p5 [§Методы; интерпретация],geological wall sketches of workings + underground borehole logs,DC02,manual override (reviewed),FACT,VKM_REGIONAL,MEDIUM,internal mine geological documentation; not published as data,,
EV-VN-S016-0033,VKM-SRC-016,"p5 [текст p.5, [29]]",calibrated rheological parameter set (research report),DC03,explicit (cited in DC row),FACT,BKPRU4,HIGH,only via article (2022) or restricted Uralkali/SPMI report,report is grey literature,
EV-VN-S016-0063,VKM-SRC-016,p7 [§Верификация модели],mine levelling of profile lines (ведомости оседаний),DC17,explicit (cited in DC row),FACT,BKPRU4,HIGH,internal mine survey records (ведомости) + 'отчетные материалы' on anomalies; public only as 2 epochs in 2022,~5 years between last epoch (2017) and publication (2022),
EV-VN-S016-0117,VKM-SRC-016,p14 [колофон],peer-reviewed article (FEM reference problem + levelling excerpt),DC17,keyword rule on data_class,FACT,BKPRU4,HIGH,public from 2022,~5 yr from last levelling epoch,
EV-VN-S017-0012,VKM-SRC-017,p2 [p.2-3],hydrostatic levelling of building foundations (ИМСС УрО РАН system),DC19,explicit (cited in DC row),FACT,OTHER_VKM_SITE,HIGH,"near-real-time on central server via web (for operator/ИМСС); to outsiders only via publication (summary table, few series)",some buildings dropped after resettlement/demolition (series truncated),
EV-VN-S017-0048,VKM-SRC-017,"p8 [p.8, p.10]","Berezniki monitoring products referenced (InSAR, gravimetric-polygon levelling, hydrostatic)",DC19,explicit (cited in DC row),FACT,OTHER_VKM_SITE,HIGH,published summaries 0-2 years after last measurement,hydrostatic data online internally; published only as summary,
EV-VN-S018-0005,VKM-SRC-018,p2 [Введение],fault / disjunctive-tectonics maps and schemes of VKM,DC09,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"mostly unpublished/grey maps; only authors+years listed, no references except [8] Кудряшов 2004",multiple competing fault maps by different authors -> fault geometry is interpretation-dependent,Only author-year pointers; these maps are candidate inputs for a 3D fault/weak-zone layer but none are in the corpus via this article.
EV-VN-S018-0008,VKM-SRC-018,p2 [Введение],aerospace-geological (remote-sensing lineament) studies of VKM,DC08,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,mostly oil-prospecting grey reports,quality step change ~2010,
EV-VN-S018-0029,VKM-SRC-018,p4 [p.4],geodynamic active-zone maps (AKGI),DC08,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,maps as figures without coordinates; GIS layers not published,scene acquisition dates not given,
EV-VN-S018-0089,VKM-SRC-018,p8 [p.8],publication of geodynamic AZ assessment (this article),DC08,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,article with raster maps; no digital layers,~1 yr from 2010 survey to publication,
EV-VN-S019-0045,VKM-SRC-019,p1 [Введение; Библ.],design/normative parameters of large-cross-section slime chambers (КБС),DC12,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,normative values public via this article; actual SKRU-1 КБС as-built geometry would be in mine survey plans (not published),as-built chamber data for SKRU-1 not in the literature corpus,
EV-VN-S020-0003,VKM-SRC-020,p2 [оборот титула],"corporate training manual (compilation of mining-conditions, technology and equipment data)",DC30,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"опубликовано в 1998; внутрикорпоративное издание, право переиздания принадлежит ОАО «Уралкалий» и ЗАО «НИПО»","геологические сведения ссылаются на источники 1977-1979 гг. [1],[2] — фактическая латентность геологических обобщений ~20 лет",
EV-VN-S020-0161,VKM-SRC-020,p25 [§1.4],паспорт крепления выработки,DC12,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,только по запросу к рудоуправлению; не публикуется,,
EV-VN-S020-0180,VKM-SRC-020,p30 [§1.5],план развития горных работ (годовой) и перечень рабочих зон,DC13,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,ежегодный план известен заранее (прогнозная информация о будущих выработках); вне рудника недоступен,годовой цикл планирования + оперативные распоряжения по мере возникновения новых зон,
EV-VN-S020-0196,VKM-SRC-020,p45 [§1.9],положение комбайна/фактическая геометрия выемки,DC14,keyword rule on data_class,INTERPOLATION,VKM_REGIONAL,MEDIUM,фактическая геометрия камер доступна только через маркшейдерскую документацию,нет автоматического лога положения комбайна,"Вывод о том, что фактическая геометрия камер фиксируется маркшейдерией, опирается на предисловие (раздел 3 'Маркшейдерское обеспечение') — проверить в чанке с разд.3."
EV-VN-S020-0209,VKM-SRC-020,p70 [Рис.2.1],подземные разведочные скважины из подготовительных выработок,DC02,explicit (cited in DC row),FACT,VKM_REGIONAL,MEDIUM,только через геологическую службу рудника,данные появляются опережающе — до начала очистных работ в панели,Подземное разведочное бурение — источник локальных данных о гипсометрии/мощности пластов (борт-скважины).
EV-VN-S020-0220,VKM-SRC-020,p73 [§2.2],маркшейдерские направления и контроль положения выработок,DC14,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,через маркшейдерские планы горных работ рудника,,
EV-VN-S020-0222,VKM-SRC-020,p73 [§2.3],паспорт проходки и управления кровлей,DC12,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"не публикуется; проектные параметры выработок (ширина, высота, целики) задаются здесь",,
EV-VN-S020-0233,VKM-SRC-020,p81 [§2.4],журнал замеров горючих газов,DC25,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,внутренний журнал на комбайне; вне рудника недоступен,,
EV-VN-S020-0238,VKM-SRC-020,p85 [§2.5.1],схема электроснабжения участка (расчётная документация),DC15,keyword rule on data_class,FACT,VKM_REGIONAL,HIGH,нерелевантно,,"Зафиксировано для полноты; для мира нерелевантно. С.86-91 — таблицы 2.1-2.8 (КРУ, выключатели, пускатели, КТП, кабели) — skim."
EV-VN-S020-0259,VKM-SRC-020,p106 [§3.1],маркшейдерская съемка горных выработок и земной поверхности; наблюдения за деформацией горных пород,DC14,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,только через маркшейдерский отдел рудника / ОАО «Уралкалий»,,
EV-VN-S020-0262,VKM-SRC-020,"p107 [§3.2 (с.107, 109, 111)]","маркшейдерская графическая документация (планы поверхности и горных выработок, вертикальные/горизонтальные разрезы, профили, проекции, гипсометрические планы кровли/почвы пласта, планы мощности и содержания компонентов)",DC14,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,"исходные чертежи (оригиналы, дубликаты, рабочие планы) хранятся в маркшейдерском отделе; для внешнего пользователя — только через рудник",исходные чертежи — основа для всех маркшейдерско-геологических чертежей,"Классы документов, которые потенциально содержат геометрию 3D мира рудника (гипсометрия почвы/кровли пласта, разрезы по разведочным выработкам). Масштабы: крупные 1:500-1:10000."
EV-VN-S020-0290,VKM-SRC-020,p113 [§3.3],каталог пунктов подземной маркшейдерской сети,DC14,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,через маркшейдерский отдел рудника,,
EV-VN-S020-0302,VKM-SRC-020,p123 [§3.5 п.3],"подземное нивелирование (высоты пунктов сетей, профили путей)",DC17,keyword rule on data_class,FACT,GENERAL_METHOD,HIGH,"через маркшейдерский отдел рудника (журналы, планы/профили)",,
EV-VN-S020-0304,VKM-SRC-020,p125 [§3.6 п.1],"задание направления камере/выработке (замер, эскиз проходки)",DC14,explicit (cited in DC row),FACT,VKM_REGIONAL,HIGH,проектная ось и фактический контур — в маркшейдерских планах после съемки,задание направления предшествует выемке; фактическая геометрия фиксируется съемкой после выемки,
