conflict_id,model_ids,source_ids,locators,vn_ids,conflict_type,form_a,form_b,description_ru,resolution_needed,status
FC-033,MM-STRESS-001;MM-DER-004;MM-PILLAR-008;MM-DER-006,VKM-SRC-037;VKM-SRC-032,VKM-SRC-037 p.168 (печ. 335) [формула (8.130)]; VKM-SRC-032 p.2 (печ. 45) [формула (3)],EV-VN-S037-0910;EV-VN-S032-0008,MODEL_CHOICE_CONFLICT (начальное поле напряжений),"λ = 0,45 (σ_x в кровле камер, ВКМ-методика VKM-SRC-037 (8.130)); λ = ν/(1 − ν) (бывшая гипотеза H-λ1 прошлого релиза — отозвана в pass 4, DC-K0-* = SUPERSEDED; только диагностика)","λ = 1 — гидростатическое начальное поле (МКЭ VKM-SRC-032, FVC-003); члены гипотез RD-004 прошлого релиза: 0,60; 0,71; 1,00","Для соли долговременная ползучесть обосновывает гидростатику, нормативная методика использует 0,45, упругая гипотеза даёт ν-зависимое значение. Измерений для SKRU-1 нет (MM-STRESS-002…008 — только методы). Хранить как набор гипотез; не усреднять. Внешне (RM-F-018, RM-F-028, RM-F-031): первоисточник линии λ ≈ 0,71 (Асанов–Токсаров 1999; Токсаров 2000) подтверждён только библиографически; натурных измерений напряжений на СКРУ-1 не найдено — λ(СКРУ-1) = UNKNOWN, в WorldSpec — набор гипотез.",Натурные измерения напряжений на СКРУ-1 (UNKNOWN); иначе — ансамбль гипотез.,OPEN
FC-034,MM-CREEP-019,VKM-SRC-036,VKM-SRC-036 p.9 (печ. 200) [eq. (29)]; VKM-SRC-036 p.9 (печ. 200) [eq. (30)],EV-VN-S036-0061;EV-VN-S036-0062,INTERNAL_TYPO (вероятная),"(29) как напечатано (визуально, 300 dpi): Δλ₁ = (a·Φ₁ − b·Φ₂₆)/(ad − bc)","решение системы [[a, b], [c, d]]·(Δλ₁, Δλ₂₆)ᵀ = (Φ₁, Φ₂₆)ᵀ по правилу Крамера: Δλ₁ = (d·Φ₁ − b·Φ₂₆)/(ad − bc); Δλ₂₆ = (a·Φ₂₆ − c·Φ₁)/(ad − bc) — совпадает с напечатанным для Δλ₂₆","Символьная проверка (без чисел): коэффициент при Φ₁ в числителе Δλ₁ должен быть d, а не a. Реализация по печатной форме даст неверный возврат на ребро поверхности Мора–Кулона.",Сверка с авторской реализацией/исправлением.,OPEN
FC-035,MM-CREEP-018;MM-STR-011,VKM-SRC-036,VKM-SRC-036 p.7 (печ. 198) [Table 2: “Volumetric + Bingham” model parameters]; VKM-SRC-036 p.3 (печ. 194) [eq. (5)],EV-VN-S036-0049;EV-VN-S036-0022,UNIT_CONFLICT,η для «объёмный критерий + Бингам» напечатана в МПа·ч (табл. 2),"Φ_vol по (5) имеет размерность МПа², поэтому η = Φ/λ̇ должна иметь МПа²·ч",Размерность вязкости Бингама с объёмным критерием в таблице не согласуется с (5); для Перзины/Перича нормировка на σ_y = σ_c·σ_t (МПа²) делает η [ч] согласованной.,Уточнение у авторов; при реализации — проверка размерности.,OPEN
FC-036,MM-WPS-008;MM-STR-008,VKM-SRC-038;VKM-SRC-025,"VKM-SRC-038 p.4 (печ. 243) [формула (1)]; VKM-SRC-025 p.54 (печ. 54) [формула (2.14), Рис. 2.18]",EV-VN-S038-0024;EV-VN-S025-0283,NOTATION_CONFLICT (знак σ_р) — формы эквивалентны,"τ_пр² = (σ_р + σ_n)·[2σ_р − 2√(σ_р(σ_р + σ_сж)) + σ_сж], σ_р > 0 (VKM-SRC-038, Кузнецов 1947)","τ² = (σ − σ_р)/a, a = (σ_пр − 2σ_р + 2√(σ_р² − σ_р·σ_пр))/σ_пр², σ_р < 0 (VKM-SRC-025, Фэрхерст)","Символьная проверка этого проекта: при σ_р(025) = −σ_р(038) имеем 1/a = σ_пр + 2σ_р′ − 2√(σ_р′(σ_р′ + σ_пр)) (домножение на сопряжённое), т. е. обе записи — одна парабола. Опасность — только в знаковой конвенции.",Нет; зафиксировать конвенцию знаков в WorldSpec.,RESOLVED_EQUIVALENT
FC-037,MM-SUBS-018;MM-SUBS-013,VKM-SRC-039;VKM-SRC-012,"VKM-SRC-039 p.3 (печ. 59) [с. 59, 1-й абзац]; VKM-SRC-012 p.54 (печ. 54) [§2.4]",EV-VN-S039-0012;EV-VN-S012-0257,DEFINITION_CONFLICT (граница зоны влияния),"граница — по критическим деформациям i ≤ 0,5·10⁻³, ε ≤ 0,5·10⁻³ (ПБ 07-269-98, уголь; VKM-SRC-039)","граница — угловым построением L = H·ctg δ₀ с нормативным δ₀ = 50–55° (ВКМ, VKM-SRC-012/037)","Деформационное и угловое определения дают разные границы мульды; при сравнении моделей с наблюдениями необходимо указывать, какое определение используется.",Нет (определения); выбор — MODEL_CHOICE локальной фазы.,RESOLVED_DEFINITION
FC-038,MM-DER-005;MM-DER-006;MM-CREEP-012,VKM-SRC-038;VKM-SRC-012,"VKM-SRC-038 p.3 (печ. 242) [с. 242, 1-я колонка]; VKM-SRC-012 p.95 (печ. 95) [§4.1]",EV-VN-S038-0018;EV-VN-S012-0504,MODEL_CHOICE_CONFLICT (эквивалентный выработанный слой),"E_eq = (1 − ω)·E_host (DC-EEQ, RD-015 — SUPERSEDED, только сравнение); R3b: E_eq = (1 − ω)E_p(1 + 2ν_p)/(1 + ν_p)², ν_eq = ν_p/(1 + ν_p) (DC-EQL, RD-018 — кандидатное правило адаптера; опорный выбор RD-024 — LEGACY_ONLY)","E^p = E⁰/[1 + Ψ(t)], Ψ(t) = η(t)/(m·ε⁰_yy) — время задаётся нормативной/наблюдённой кривой оседаний (ГИ УрО РАН, VKM-SRC-038)","Гомогенизация по геометрии (без времени) и калибровка модуля по кривой оседаний (время через η(t)) — разные модели; вторая использует кривую оседаний как вход, что недопустимо при сравнении с данными оценки (утечка). Внешнее подтверждение циркулярности (XF-SF-007, XF-SF-009, XF-SF-030): временные функции ВКМ-моделей откалиброваны на наблюдённых оседаниях — у Ермашова 2015 по нормативным графикам нарастания оседаний и профильным линиям 2 и 7 СКРУ-2, у Барях и др. 2005 единые реологические показатели по натурным оседаниям; такие параметры и функции нельзя считать физикой, независимой от оценочных данных. Метод переменных модулей — квазиупругая аппроксимация, точная только при постоянной нагрузке (RM-FV-005, RM-F-032). В корпусе то же отмечает Лебедева (VKM-SRC-012 с. 95, EV-VN-S012-0504): в крупномасштабных моделях ГИ УрО РАН система «целики – камеры» заменяется эквивалентным слоем, реологические параметры которого подбираются по нарастанию кривых оседаний [7]; запись EV-VN-S012-0504 ошибочно трактует эту фразу как противоречие описанию модели самого автора.","Решение WorldSpec: геометрическая гомогенизация + реология соли vs кинематическая калибровка; при последней — только нормативная η(t), не наблюдения из оценочного набора.",OPEN
FC-039,MM-ML-002;MM-ML-001;MM-STAT-012,VKM-SRC-023,VKM-SRC-023 p.96 (печ. 96) [rendered p.96; §4.2 summary p.96 and 'Вывод по главе 4' vs p.93-94 text and Табл. 4.3-4.5],EV-VN-S023-0442,VALIDATION_MODE_CONFLICT + INTERNAL_VALUE_CONFLICT (метрики ML ВКР),"Табл. 4.3–4.5 и текст с. 93–94: ENFS3 — LOO: MAE 17,22 мм, RMSE 21,49 мм, R² 0,9989; шахматное разбиение 50 %: MAE 69,98 мм, R² 0,98; свободный прогноз (пространственно разнесённые выборки): MAE 351,31 мм, R² 0,4952; все модели свободного прогноза: MAE 351–595 мм, R² −0,05…0,56","Сводка с. 96 и выводы с. 107, 109: ENFS3 — LOO: MAE 16,33 мм, RMSE 22,55 мм, R² 0,9994; шахматное разбиение: MAE 74,55 мм, WAPE 10,25 %; свободный прогноз: MAE 349,24–596,05 мм, R² −0,0385…0,5757","Два набора чисел одного сравнения (сводка взята из другого прогона, чем таблицы). Главное — качество определяется режимом проверки: LOO по пространственно коррелированным ячейкам (по сути интерполяция внутри обучающей области) даёт у лучшей модели R² ≈ 0,999, а пространственно разнесённый прогноз — MAE ≈ 350–600 мм при R² ≤ 0,58. Это единственная предшествующая ML-работа по оседаниям СКРУ-1 и прямое свидетельство утечки при LOO-оценке: in-sample LOO ≠ прогнозная способность. Обе версии чисел сохраняются; усреднения нет.",Для будущего бенчмарка (только после отдельного gate) — лишь пространственно-временные разнесённые проверки; LOO-метрики ВКР не использовать как базовую линию. Происхождение чисел сводки с. 96 — UNKNOWN.,OPEN
FC-040,MM-ML-001,VKM-SRC-023,"VKM-SRC-023 p.65 (печ. 65) [§3.3.1 vs §3.3.3, rendered pp.65,68]; VKM-SRC-023 p.69 (печ. 69) [Табл.3.3 Метрики качества алгоритма ИНС, rendered pp.68-69]",EV-VN-S023-0362;EV-VN-S023-0373,INTERNAL_INCONSISTENCY (конфигурация ИНС ВКР),§3.3.1: число входных нейронов равно числу сформированных признаков — шесть,"§3.3.3: обучение на выборке с признаками 1–11 (табл. 3.1); метрики классификации ИНС — табл. 3.3 (в строке порога 250 мм Specificity = FPR = F = 50,00 % — возможная заглушка)",Число входных признаков ИНС указано по-разному (6 и 11); к какой конфигурации относятся метрики табл. 3.3 — UNKNOWN. Совпадение трёх метрик в строке 250 мм требует проверки первичных расчётов.,Исходный код/данные ВКР; до этого метрики табл. 3.3 — только контекст.,OPEN
FC-041,MM-PETRO-005,VKM-SRC-025,VKM-SRC-025 p.127 (печ. 127) [Табл. 4.9 vs p.126 vs Табл. 4.10],EV-VN-S025-0692,SAMPLE_SIZE_INCONSISTENCY (регрессия (4.13)),Текст с. 126: использованы данные 171 скважины (КрII) и 127 скважин (АБ),"Табл. 4.10: 158 (КрII) и 115 (АБ) скважин (СКРУ-1 45/23, СКРУ-2 52/59, СКРУ-3 61/33); степени свободы F-критерия табл. 4.9: f₂ = 120 (КрII), 97 (АБ)","Объём выборки регрессии прочности пласта (4.13) внутри источника не согласован (три разных числа). Выборка — объединённая по трём рудникам ОАО «Сильвинит» (SOLIKAMSK_GROUP), не значения СКРУ-1; источник сам отмечает систематическое занижение средних.",Первичные данные VKM-SRC-025 гл. 4; при использовании регрессии указывать неопределённость объёма и состава выборки.,OPEN
FC-042,MM-SUBS-010,VKM-SRC-037,"VKM-SRC-037 p.170 (печ. 338) [§8.5.1, методика типовых кривых; (8.138)-(8.142)]",EV-VN-S037-0933,PRINT_ERROR_SUSPECTED (наклон (8.138)),(8.138) как напечатано: i_x = η₀/L²·S′(Z),"размерно корректная форма: i(z) = η₀·S′(z)/L (производная η₀·S(x/L) по x); по Указаниям 2008 (Барях–Тенисон 2021, ф. (1)): i(z) = η₀k·S′(z)·q_i/L, q_i — приведение к интервалу 15 м",Множитель 1/L² при S′ размерно неверен для наклона (вероятная опечатка печати); для кривизны (8.139) множитель 1/L² верен. Внешняя сверка: XFV-SF-011 и FV-SKRU1-003 — LOCAL_DISTORTED. Форма сохранена как напечатано.,При реализации оператора наклона — форма η₀·S′(z)/L (с q_i по выбранной редакции).,RECORDED_AS_PRINTED
