idc_id,tier,phenomenon_class,phenomenon,mechanism_causal_path,location_scale,site_scope,quantitative_evidence,linked_mech_rows,linked_rheo_rows,causal_relevance,evidence_strength,status,evidence_type,source_id,locator,vn_ids,prev_evidence_ids,extraction_method,confidence,applicability_SKRU1,notes
MR-IDC-0204,B_RECORD,dynamic_failure,газодинамические явления (внезапные выбросы соли и газа) при комбайновой выемке,"выемка комбайном → возможный выброс соли и газа → конструктивная мера: вынесенный пульт управления вне зоны поражения продуктами выброса, изолирующая кабина машиниста",unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,QUALITATIVE | качественное (конструктивная мера безопасности),FACT,DESCRIPTIVE,VKM-SRC-020,"p.136 §4.1.2, с.136",EV-VN-S020-0324,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Косвенное свидетельство выбросоопасности пластов (Старобин/ВКМ); подробности — в §1.5 (c1).
MR-IDC-0205,B_RECORD,floor_heave_convergence,пучение/поднятие почвы выработок (конвергенция) в калийных рудниках,"деформирование соляного массива во времени → уменьшение высоты выработок за счет поднятия почвы → поддирка почвы слоем до 500 мм машиной Урал-60 (связь с пучением — ИНТЕРПРЕТАЦИЯ; в тексте названо лишь 'поддирка, выравнивание и зачистка почвы')",unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,INDIRECT: chamber/working convergence (incl. floor heave) is the void closure that ultimately produces surface subsidence,INTERPRETATION | косвенное,ENGINEERING_ASSUMPTION,INTERPRETATION,VKM-SRC-020,p.149 §4.1.6,EV-VN-S020-0337,,TEXT_LAYER,LOW (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Для мира 3D+time: указывает на существование процесса конвергенции/пучения почвы в долгоживущих выработках; количественных данных нет.
MR-IDC-0206,B_RECORD,dynamic_failure,складчатость продуктивных пластов и газодинамическая (выбросо-) опасность карналлитового пласта Вк как факторы выбора технологии выемки,интенсивная/сложная складчатость пластов → комбайн не следует контуру пласта → буровзрывная выемка (лучше приспосабливается к складчатости); выбросоопасность пласта Вк → БВР для безопасной отработки; дегазация нижних слоев шпурами,"seam: пласт Вк; пласты АБ, В | scale NOT_APPLICABLE",VKM_REGIONAL,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,QUALITATIVE | качественное утверждение отраслевого пособия,FACT,DESCRIPTIVE,VKM-SRC-020,"p.161 §4.4, с.160-161",EV-VN-S020-0351,,VISUAL_READ,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,"Для 3D мира: складчатость влияет на геометрию выемки (высоту/контур камер), что потенциально влияет на коэффициент извлечения и оседания."
MR-IDC-0207,B_RECORD,roof_failure,обрушение кровли выработки с газовыделением,"обрушение кровли → выделение рудничных газов (CH4, H2, CO2) из разрушенных пород/солей → необходимость остановки работ и усиленного проветривания; возобновление при суммарной концентрации газов ≤ 0,5 %",unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,INDIRECT/LOCAL: roof falls change effective span and fill chambers with bulked rock (reduces void convergence); primarily workings stability,"NORMATIVE | нормативное правило безопасности, подразумевающее регулярность явления",FACT,NORMATIVE,VKM-SRC-020,p.222 §7.1,EV-VN-S020-0413,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Roof falls in workings are an expected event class on VKM mines; gas release accompanies them.
MR-IDC-0208,B_RECORD,dynamic_failure,газодинамические явления (внезапные выбросы соли и газа) из кровли выработок,"скопления приконтактных газов (под давлением P_б) на контактах в кровле выработок (слой каменной соли КрII-КрI, пласт КрII) → при подработке выработкой — выброс соли и газа из кровли; контроль через дегазационные шпуры","seam: пласты АБ, КрII | scale NOT_APPLICABLE",VKM_REGIONAL,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,NORMATIVE | нормативно установленные критерии для пластов АБ и КрII (источник критериев не указан),FACT,NORMATIVE,VKM-SRC-020,p.247 §7.1 (ПБ-2),EV-VN-S020-0425,,OCR_VISUALLY_CONFIRMED,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Contact-gas pockets at lithological interfaces = a mechanism of roof damage/instability; also evidence that interfaces (КрII-КрI salt interlayer) matter mechanically.
MR-IDC-0209,B_RECORD,bedding_contact_slip_delamination,"отслоение пород кровли, стенок и забоя; заколы в кровле",выемка → отслоение/заколы в кровле и стенках → оборка или дополнительная крепь; контроль осмотром и простукиванием каждую смену,working:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),NORMATIVE | нормативное правило; качественно,FACT,NORMATIVE,VKM-SRC-020,"p.250 §7.2.1, §7.2.2 п.9",EV-VN-S020-0434,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Near-field roof delamination is a routine process; qualitative daily roof checks (not recorded quantitatively).
MR-IDC-0210,B_RECORD,flooding_dissolution_sinkhole,ВЗТ breach -> fresh water inflow (soluble ВЗТ rocks),intensive deformation of undermined massif -> through-going fracture zone in soluble ВЗТ -> fresh water from aquifers into goaf -> dissolution/flooding of mine,deposit: ВКМКС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,"INTERPRETATION | authors (GI UrO RAN + Uralkali), regional",FACT,INTERPRETATION,VKM-SRC-021,p.1 введение,EV-VN-S021-0008,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0211,B_RECORD,flooding_dissolution_sinkhole,БКПРУ-3 flooded,type flooding; 1986–None; object: БКПРУ-3,mine: БКПРУ-3 | scale NOT_APPLICABLE,BKPRU3,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-021,p.2 введение,EV-VN-S021-0010,EV-GEO-0355;EV-MIN-0287,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: BKPRU3,
MR-IDC-0212,B_RECORD,flooding_dissolution_sinkhole,БКПРУ-1 flooded,type flooding; 2006–None; object: БКПРУ-1,mine: БКПРУ-1 | scale NOT_APPLICABLE,BKPRU1,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-021,p.2 введение,EV-VN-S021-0011,EV-GEO-0355;EV-MIN-0287,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: BKPRU1,
MR-IDC-0213,B_RECORD,flooding_dissolution_sinkhole,СКРУ-2: ongoing struggle against fresh-water inflow since 2014,type flooding; 2014–None; object: СКРУ-2,mine: СКРУ-2 | scale NOT_APPLICABLE,SKRU2,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-021,p.2 введение,EV-VN-S021-0012,EV-GEO-0355;EV-MIN-0287,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU2,SKRU-2 is the neighbour of SKRU-1 (Solikamsk); status 2024: still ongoing.
MR-IDC-0214,B_RECORD,interseam_failure,"deformation of pillars/interseams (underground stations), surface subsidence (profile lines of ground benchmarks), goaf condition (visual inspection)",method other; values: ; dates: routine,unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT (multi-seam): interseam failure transfers load between seams, increases effective extraction height and pillar height → loading degree ↑",QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-021,p.2 введение,EV-VN-S021-0015,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,"Three monitoring modalities: underground observation stations, surface profile-line levelling, visual goaf inspection; plus seismic (seismogeomechanical) surveys p.3."
MR-IDC-0215,B_RECORD,WPS_damage_fracturing,"ВЗТ hazard categories: 1 — preconditions for through-going subvertical cracks during mine operation; 2 — discontinuity predicted by end of subsidence process; 3 — at end of subsidence, total thickness of undisturbed ВЗТ layers < admissible",applies to: mined areas of VKM mine fields; values: ,unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",NORMATIVE,FACT,NORMATIVE,VKM-SRC-021,p.3 классификация категорий,EV-VN-S021-0023,EV-MIN-0278;EV-GEO-0356,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0216,B_RECORD,WPS_damage_fracturing,Staged zoning: (1) normative check of mined areas (undisturbed-ВЗТ-thickness and tilt criteria) along all boundaries where mining parameters change and at permanently stopped boundaries (pillar boundaries); (2) measured profile-line subsidence vs limit; violation at block boundary -> category to the block causing the unfavourable situation; criteria violated at end of subsidence -> cat 3; allowabl,applies to: VKM mine fields; values: ,unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",INTERPRETATION,FACT,INTERPRETATION,VKM-SRC-021,p.3 поэтапная методика районирования,EV-VN-S021-0024,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,"Operational workflow combining normative criteria, levelling, seismic surveys and modelling."
MR-IDC-0217,B_RECORD,interseam_failure,Interseam failure -> sharp increase of surface subsidence rates over block 129,"type other; 1984–1985; object: блок 129, междупластье КрII–АБ",block: блок 129 (рудник ВКМКС не назван (вероятно СКРУ-1 по номенклатуре блоков и скв.75 — не подтверждено текстом)) | scale NOT_APPLICABLE,UNSTATED,,,,"DIRECT (multi-seam): interseam failure transfers load between seams, increases effective extraction height and pillar height → loading degree ↑",FIELD_OBSERVED,FACT,FIELD_OBSERVATION,VKM-SRC-021,p.3 пример блок 129,EV-VN-S021-0033,EV-MIN-0283;EV-RMR-1182,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: UNSTATED,~8-9 years after end of mining; key documented delayed regime change (interseam collapse) for dynamic subsidence modelling.
MR-IDC-0218,B_RECORD,WPS_damage_fracturing,zoning example result,End of subsidence: criteria violated at boundaries with 2 ЮЗП and 159 -> stage category 2. Seismogeomechanical modelling: fracture zone forms at 129/2 ЮЗП boundary by end of subsidence (Fig.1б); ВЗТ preserved at 129/159 boundary (Fig.1в). Final: block 129 = category 2; additional studies recommended at 129/3 ЮЗП boundary; all mined areas of the mine field zoned by this technology.,block: блок 129 (рудник ВКМКС не назван (вероятно СКРУ-1 по номенклатуре блоков и скв.75 — не подтверждено текстом)) | scale NOT_APPLICABLE,UNSTATED,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",MODEL/CALCULATION,DERIVATION,CALCULATED_BY_AUTHOR,VKM-SRC-021,"p.4 пример блок 129; Рис. 1б,в",EV-VN-S021-0039,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: UNSTATED,"[fix 26.09 TRANSFER-022/global rule] status FACT→DERIVATION (CALCULATED_BY_AUTHOR: model/calculated result, not an observation) "
MR-IDC-0219,B_RECORD,WPS_damage_fracturing,zoning outputs and monitoring design,"Outputs: areas with expected ВЗТ failure for different periods; boundaries failing criteria needing further study; seismogeomechanical studies recommended where criteria already violated; for categories 1-3 a monitoring project: surface movement observations, visual & instrumental goaf control, geophysical & geomechanical studies.",unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",INTERPRETATION,FACT,INTERPRETATION,VKM-SRC-021,p.5 заключение,EV-VN-S021-0046,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0220,B_RECORD,flooding_dissolution_sinkhole,"Mitigation after zoning: backfilling works, softening zones, goaf inspection periodicity, other protective measures up to wet liquidation (controlled flooding) of part of mine field or the whole mine to avoid sinkholes after fresh-water breakthrough",applies to: VKM mines; values: ,unstated:  | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,INTERPRETATION,FACT,INTERPRETATION,VKM-SRC-021,p.5 заключение,EV-VN-S021-0047,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0221,B_RECORD,flooding_dissolution_sinkhole,Затопление рудников БКПРУ-3 и БКПРУ-1 (прорыв вод); по тексту дата '1986 г.' отнесена к обоим,"type flooding; 1986–None; object: БКПРУ-3, БКПРУ-1",mine: БКПРУ-3; БКПРУ-1 | scale NOT_APPLICABLE,OTHER_VKM_SITE,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,CITED,FACT,LITERATURE_CITED,VKM-SRC-023,p.10 rendered p.10; Введение,EV-VN-S023-0024,,DOCX_TEXT,LOW (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_VKM_SITE,"Sentence is garbled: generally known chronology is БКПРУ-3 flooded 1986, БКПРУ-1 flooded 2006, СКРУ-2 flooded 2014. Text as printed attributes 1986 to both and 2006+2014 to СКРУ-2 suspension. See conflict_note. No reference given. Also: '7 mines built within VKMKS'."
MR-IDC-0222,B_RECORD,flooding_dissolution_sinkhole,Приостановка работ на руднике СКРУ-2 из-за водопритока (по тексту: 2006 и 2014),type flooding; 2006–2014; object: СКРУ-2,mine: СКРУ-2 | scale NOT_APPLICABLE,SKRU2,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,CITED,FACT,LITERATURE_CITED,VKM-SRC-023,p.10 rendered p.10; Введение,EV-VN-S023-0025,,DOCX_TEXT,LOW (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU2,"2006 is most likely the БКПРУ-1 flooding year misattributed by sentence structure; СКРУ-2 inrush/flooding 2014. Neighbouring mine of СКРУ-1 — relevant for regional hydro context, not SKRU-1 data."
MR-IDC-0223,B_RECORD,WPS_damage_fracturing,mining_system_VKM,"At VKMKS the room (chamber) system with rigid interchamber pillars is applied; it ensures controlled smooth deformation of the undermined massif and uniform surface subsidence, key for preserving ВЗТ integrity.",deposit: ВКМКС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-023,p.10 rendered p.10; Введение,EV-VN-S023-0027,,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Uncited general statement.
MR-IDC-0224,B_RECORD,flooding_dissolution_sinkhole,fracturing of the water-protective stratum (ВЗТ) under mining-induced deformation,extraction -> massif deformation (esp. at subsidence-trough margins and over structurally weakened 'anomalous' zones) -> cracks in ВЗТ -> through-going fracture zone -> brine/fresh-water inrush -> mine flooding and loss of reserves,deposit: ВКМКС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,"INTERPRETATION | qualitative statement, uncited (introduction)",FACT,INTERPRETATION,VKM-SRC-023,p.10 rendered p.10; Введение,EV-VN-S023-0028,,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0225,B_RECORD,flooding_dissolution_sinkhole,"Flooding of БКПРУ-3 (1986) and БКПРУ-1 (2006) after loss of ВЗТ integrity (e.g., pillar collapse)",type flooding; 1986–2006; object: БКПРУ-3; БКПРУ-1,mine: БКПРУ-3; БКПРУ-1 | scale NOT_APPLICABLE,OTHER_VKM_SITE,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,CITED,FACT,LITERATURE_CITED,VKM-SRC-023,p.35 rendered p.35; §2.3,EV-VN-S023-0168,EV-GEO-0255,DOCX_TEXT,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_VKM_SITE,[25]. Written 'БКПР-3/БКПР-1'. Consistent with general literature; contradicts the introduction (p.10).
MR-IDC-0226,B_RECORD,flooding_dissolution_sinkhole,класс 'обрушающиеся целики' C > 0.7 — разрушение целиков планируется для контролируемого заполнения выработанного пространства,applies to: ВКМКС; пример — участок БКПР(У)-3 (впоследствии затоплен); values: C > 0.7,pillar:  | scale DESIGN,VKM_REGIONAL,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,CITED,FACT,LITERATURE_CITED,VKM-SRC-023,p.36 rendered p.36; §2.4 Горнотехнические условия месторождения,EV-VN-S023-0175,EV-MIN-0300,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Threshold source not given at sentence level ([27] closes the block). BKPRU-3 mention is OTHER_VKM_SITE. Normative thresholds should be verified in normative sources.
MR-IDC-0227,B_RECORD,pillar_failure_progressive_creep,обвалы (массовое обрушение целиков) на СКРУ-2 при C ≈ 0.32–0.36,type accident; 1995–None; object: СКРУ-2,mine: СКРУ-2 | scale NOT_APPLICABLE,SKRU2,,,,"DIRECT: pillar creep/failure regime (rigid vs yielding, tertiary creep) governs the rate and possible acceleration of surface subsidence",CITED,FACT,LITERATURE_CITED,VKM-SRC-023,p.36 rendered p.36; §2.4 Горнотехнические условия месторождения,EV-VN-S023-0177,EV-MIN-0301,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: SKRU2,"Cited to [27] Тарасов В.В., Пестрикова В.С. 'Обзор аварийных ситуаций ... при проходке шахтных стволов', 2015 — a shaft-sinking accident review; support of the pillar-collapse C values by [27] is questionable (see conflict_note). Exact date not given here (commonly 05.01.1995 in literature, per EV-MIN-0301 note). SKRU-2, not SKRU-1."
MR-IDC-0228,B_RECORD,WPS_damage_fracturing,enhanced water inflow along tectonic disturbance zones,tectonic disturbance zones -> increased permeability -> ~2x water inflow into workings -> potential salt dissolution / ВЗТ risk,geological_element: зоны тектонических нарушений | scale FIELD,UNSTATED,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend","CITED | single uncited-at-sentence statement, scope unknown",FACT,LITERATURE_CITED,VKM-SRC-023,p.37 rendered p.37; §2.4,EV-VN-S023-0188,,DOCX_TEXT,LOW (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: UNSTATED,Links to §2.3 claim that faults form filtration channels (EV-RMR-1187).
MR-IDC-0229,B_RECORD,dynamic_failure,gas-dynamic phenomena (газодинамические явления: внезапные выбросы/газовыделения) when opening gas-bearing interlayers,gas-bearing interlayers in salt -> gas-dynamic events on opening -> need for anti-outburst measures,geological_element: газосодержащие прослои | scale NOT_APPLICABLE,VKM_REGIONAL,,,,LOCAL/CONTEXT: gas-dynamic or dynamic failures are local events in workings; only system-scale pillar bursts could produce sudden surface subsidence,"QUALITATIVE | descriptive, uncited",FACT,DESCRIPTIVE,VKM-SRC-023,p.38 rendered p.38; §2.4,EV-VN-S023-0191,,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Dynamic process relevant to damage/event layer; no quantitative data.
MR-IDC-0230,B_RECORD,damage_zone_microcracking,disharmonic folding with western asymmetry -> zones of increased fracturing -> stress redistribution -> asymmetric subsidence,folding (western vergence) -> fracture zones -> stress channels -> asymmetric trough,deposit: Соликамская впадина / ВКМКС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,INDIRECT: damage/disturbed zones reduce effective stiffness/strength and raise permeability; observable (GPR/ultrasound) proxy of pillar degradation,INTERPRETATION | author's conclusion without data or reference; hypothesis only,INTERPOLATION,INTERPRETATION,VKM-SRC-023,p.38 rendered p.38; Выводы по главе 2,EV-VN-S023-0194,EV-GEO-0259,DOCX_TEXT,LOW (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,Conclusions of ch.2 continue on rendered p.39 (chunk c2). Asymmetry of subsidence due to folding is an untested author hypothesis.
MR-IDC-0231,B_RECORD,WPS_damage_fracturing,water-protective stratum (ВЗТ) minimum thickness,ВЗТ min thickness on some areas down to 13.5 m -> extreme inflow risk (in ch.2 text this 13.5 m was attributed to СКРУ-3 areas),geological_element: ВЗТ | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",CITED,FACT,LITERATURE_CITED,VKM-SRC-023,"p.39 Выводы по гл.2, rendered p.39",EV-VN-S023-0199,EV-GEO-0255,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,In the conclusion the 13.5 m value is stated without mine attribution; original body (PARA 218) attributes it to СКРУ-3. Not SKRU-1 evidence.
MR-IDC-0232,B_RECORD,pillar_failure_progressive_creep,pillar loading coefficient C and instability precedents,Stability/subsidence governed by interchamber pillar loading coefficient C; historical failures occurred in zones with C classified as 'relatively rigid' (refers to СКРУ-2 1995 collapse in ch.2).,deposit: ВКМКС | scale NOT_APPLICABLE,VKM_REGIONAL,,,,"DIRECT: pillar creep/failure regime (rigid vs yielding, tertiary creep) governs the rate and possible acceleration of surface subsidence",INTERPRETATION,UNKNOWN,INTERPRETATION,VKM-SRC-023,"p.39 Выводы по гл.2, rendered p.39",EV-VN-S023-0201,EV-MIN-0301;EV-MIN-0299,DOCX_TEXT,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: VKM_REGIONAL,
MR-IDC-0233,B_RECORD,bedding_contact_slip_delamination,"deep (глубинные) benchmark displacements: vertical (pillar compression, roof-floor convergence, bed separation/расслоение) and horizontal (lateral deformation of massif and pillars)",method borehole_log; values: vertical benchmarks in vertical/inclined boreholes; horizontal benchmarks in horizontal boreholes; dates: observation period >=5 years,borehole: деформационные скважины с глубинными реперами | scale NOT_APPLICABLE,GENERAL_METHOD,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),QUALITATIVE,MODEL_CHOICE,DESCRIPTIVE,VKM-SRC-024,p.57 §6.2.2,EV-VN-S024-0149,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: GENERAL_METHOD,"Observable types relevant as observation operators: pillar compression, roof-floor convergence, bed separation, pillar lateral deformation."
MR-IDC-0234,B_RECORD,bedding_contact_slip_delamination,height of possible roof separation/failure zone,"h_zone = 0,7*Lp  (CITED)",working: кровля выработки на сопряжении | scale NOT_APPLICABLE,GENERAL_METHOD,,,,DIRECT/INDIRECT: slip and separation on bedding contacts change overburden bending stiffness and time-dependent roof/interseam deformation (surface trough shape and delay),NORMATIVE,ENGINEERING_ASSUMPTION,NORMATIVE,VKM-SRC-024,p.69 §6.2.5 p.69,EV-VN-S024-0181,,OCR_VISUALLY_CONFIRMED,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: GENERAL_METHOD,Text-layer; page rendered at 110 dpi (p69) — consistent. Source of the 0.7 coefficient not cited.
MR-IDC-0235,B_RECORD,WPS_damage_fracturing,blast-induced damage of water-protective stratum,blasting (charge mass) → dynamic stress/cracking in anhydrite-dolomite → loss of ВЗТ integrity → water inflow into salt mine,geological_element: ВЗТ | scale DESIGN,OTHER_POTASH_SITE,,,,"DIRECT for catastrophic regime: loss of ВЗТ integrity → fresh-water inflow → dissolution → accelerated subsidence/sinkholes; defines a regime switch, not the normal trend",NORMATIVE/DESIGN | design limitation only; no measurements,MODEL_CHOICE,DESIGN_VALUE,VKM-SRC-024,p.124 Прил.1 §2.4.1,EV-VN-S024-0427,,TEXT_LAYER,MEDIUM (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_POTASH_SITE,
MR-IDC-0236,B_RECORD,flooding_dissolution_sinkhole,water/brine inflow from overlying aquifers leading to mine flooding,loss of ВЗТ integrity / connection to aquifers above the worked seam → water and brine inflows → dissolution → possible flooding of the mine,mine: рудник Гремячинского ГОКа | scale NOT_APPLICABLE,OTHER_POTASH_SITE,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,QUALITATIVE | listed hazard (no event data),FACT,DESCRIPTIVE,VKM-SRC-024,p.142 Прил.1 §3.4.1 Возможные аварии и ЧС (pp.141-142),EV-VN-S024-0447,,TEXT_LAYER,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_POTASH_SITE,"Other hazards listed: combustible gases (methane, hydrogen), roof rock falls (вывалы из кровли), conveyor-belt fires, blasting. Same flooding hazard as the main VKM hazard class."
MR-IDC-0237,B_RECORD,flooding_dissolution_sinkhole,Flooding of the Third Berezniki mine (БКПРУ-3),type flooding; 1986–None; object: БКПРУ-3 (Третий Березниковский рудник),mine: БКПРУ-3 | scale NOT_APPLICABLE,OTHER_VKM_SITE,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-025,p.5 Введение,EV-VN-S025-0009,,OCR_VISUALLY_CONFIRMED,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_VKM_SITE,
MR-IDC-0238,B_RECORD,flooding_dissolution_sinkhole,"Water inrush into BKPRU-1 through breach of the water-protective pillar (водоупорный целик); mine stopped, liquidation began",type flooding; 2006–None; object: БКПРУ-1 (Первый Березниковский рудник),mine: БКПРУ-1 | scale NOT_APPLICABLE,OTHER_VKM_SITE,,,,DIRECT for catastrophic regime (flooding/dissolution/sinkholes); NOT the normal SKRU-1 regime unless evidence of inflow,QUALITATIVE,FACT,DESCRIPTIVE,VKM-SRC-025,p.5 Введение,EV-VN-S025-0010,,OCR_VISUALLY_CONFIRMED,HIGH (class AUTO_ASSIGNED by keyword rules — verify),analogue/regional: OTHER_VKM_SITE,
