ledger_id,qa_origin,qa_depth,source_id,pdf_page,printed_page,figure_table,vn_ids,old_ev_ids,record_kind,issue_type,quote_verdict,critical,existing_value,text_layer_value,ocr_value,visual_value,surrounding_context_result,cross_source_result,corrected_value,confidence,affected_downstream,status,record_status,scope,scale,check_chain,render_png,qa_recheck_ref,notes,unresolved_class
QA-A-02619,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0247,EV-MIN-0310,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.377; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 1 found on stated page (text layer/OCR); missing: 207 1955 1957 1978 1980; best-matching page p.44 (c4=0.396)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02620,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0248,EV-MIN-0311,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 11 significant, 1 found on stated page (text layer/OCR); missing: 0.2 12 15 27 88 300 1935 1939 1989 1999; best-matching page p.15 (c4=0.087)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02621,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0249,EV-MIN-0311,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.345; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 5 significant, 0 found on stated page (text layer/OCR); missing: 88 1935 1939 1989 1999; best-matching page p.44 (c4=0.345)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02622,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0250,EV-MIN-0312,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 12 significant, 2 found on stated page (text layer/OCR); missing: 0.2 12 15 27 88 265 1934 1935 2016 2017; best-matching page p.3 (c4=0.073)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02623,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0251,EV-MIN-0312,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.377; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 1 found on stated page (text layer/OCR); missing: 88 1934 1935 2016 2017; best-matching page p.44 (c4=0.377)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02624,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0252,EV-MIN-0313,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 10 significant, 1 found on stated page (text layer/OCR); missing: 0.25 11 27 55 98 205 1969 1971 1994.2; best-matching page p.15 (c4=0.065)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02625,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0253,EV-MIN-0313,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.377; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 5 significant, 0 found on stated page (text layer/OCR); missing: 55 98 1969 1971 1994.2; best-matching page p.44 (c4=0.377)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02626,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0254,EV-MIN-0314,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 11 significant, 1 found on stated page (text layer/OCR); missing: 0.212 11 27 76 110 195 1965 1970 1997 2002; best-matching page p.15 (c4=0.093)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02627,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0255,EV-MIN-0314,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.339; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 0 found on stated page (text layer/OCR); missing: 76 110 1965 1970 1997 2002; best-matching page p.44 (c4=0.339)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02628,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0256,EV-MIN-0315,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 11 significant, 1 found on stated page (text layer/OCR); missing: 0.14 12 15 27 46 106 190 1961 2011 2012; best-matching page p.113 (c4=0.081)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02629,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0257,EV-MIN-0315,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.4; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 5 significant, 0 found on stated page (text layer/OCR); missing: 46 106 1961 2011 2012; best-matching page p.44 (c4=0.4)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02630,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0258,EV-MIN-0316,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 10 significant, 1 found on stated page (text layer/OCR); missing: 0.15 12 15 27 46 106 200 1962 2012; best-matching page p.37 (c4=0.108)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02631,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0259,EV-MIN-0316,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.408; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 4 significant, 0 found on stated page (text layer/OCR); missing: 46 106 1962 2012; best-matching page p.44 (c4=0.408)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02632,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0260,EV-MIN-0317,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 12 significant, 1 found on stated page (text layer/OCR); missing: 0.26 12 15 27 54 118 229 1962 1965 1996 1998; best-matching page p.15 (c4=0.082)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02633,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0261,EV-MIN-0317,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.333; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 0 found on stated page (text layer/OCR); missing: 54 118 1962 1965 1996 1998; best-matching page p.44 (c4=0.333)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02634,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0262,EV-MIN-0318,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 11 significant, 1 found on stated page (text layer/OCR); missing: 0.15 12 15 27 46 107 200 1961 1962 2012; best-matching page p.37 (c4=0.098)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02635,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0263,EV-MIN-0318,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.377; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 5 significant, 0 found on stated page (text layer/OCR); missing: 46 107 1961 1962 2012; best-matching page p.44 (c4=0.377)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02636,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0264,EV-MIN-0319,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 12 significant, 1 found on stated page (text layer/OCR); missing: 0.3 12 15 27 52 127 250 1957 1959 1996 2011; best-matching page p.15 (c4=0.087)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02637,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0265,EV-MIN-0319,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.339; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 0 found on stated page (text layer/OCR); missing: 52 127 1957 1959 1996 2011; best-matching page p.44 (c4=0.339)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02638,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0266,EV-MIN-0320,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 10 significant, 2 found on stated page (text layer/OCR); missing: 0.277 8.5 13.5 57 101 195 1989 1991; best-matching page p.15 (c4=0.051)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02639,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0267,EV-MIN-0320,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.417; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 4 significant, 0 found on stated page (text layer/OCR); missing: 57 101 1989 1991; best-matching page p.44 (c4=0.417)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02640,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 '[→quote], rendered p.43",EV-VN-S023-0268,EV-MIN-0321,mining_geometry,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 14 significant, 2 found on stated page (text layer/OCR); missing: 0.303 11 27 57 101 220 1958 1959 1971 1972 1993 1998; best-matching page p.15 (c4=0.081)",,,HIGH,mining_geometry (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02641,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0269,EV-MIN-0321,chronology_event,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.294; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 8 significant, 0 found on stated page (text layer/OCR); missing: 57 101 1958 1959 1971 1972 1993 1998; best-matching page p.44 (c4=0.294)",,replace quote with verbatim source text,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02642,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.17 (image19.png), rendered p.43",EV-VN-S023-0270,EV-MIN-0308,backfill,TABLE_FROM_IMAGE,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.229; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 11 significant, 0 found on stated page (text layer/OCR); missing: 1934 1935 1961 1978 1980 1989 1991 2011 2012 2016 2017; best-matching page p.44 (c4=0.229)",,,HIGH,backfill (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02643,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0271,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 1 found on stated page (text layer/OCR); missing: 100.016 195.35 208 408.821 2022; best-matching page p.42 (c4=0.214)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02644,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0272,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 1 found on stated page (text layer/OCR); missing: 100.008 170.135 207 281.119 2022; best-matching page p.42 (c4=0.209)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02645,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0273,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 5 significant, 0 found on stated page (text layer/OCR); missing: 88 100.002 179.612 304.108 2022; best-matching page p.52 (c4=0.25)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02646,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0274,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 1 found on stated page (text layer/OCR); missing: 88 100.002 179.612 304.108 2022; best-matching page p.52 (c4=0.244)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02647,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0275,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 0 found on stated page (text layer/OCR); missing: 55 98 100.001 246.316 600.284 2022; best-matching page p.52 (c4=0.238)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02648,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0276,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 0 found on stated page (text layer/OCR); missing: 76 100.24 110 284.252 403.494 2022; best-matching page p.52 (c4=0.262)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02649,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,43,43,"Рис.18 'Участки_признаки' оседания над участком (image20.png), rendered p.43",EV-VN-S023-0277,EV-MON-0117,monitoring_observation,TABLE_FROM_IMAGE,PARAPHRASE_NOT_VERBATIM (quote is an English paraphrase/summary) || QA_MANUAL QA-M-0002: VISUAL_READ_LEGIT (raster screenshots of Excel table),Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=509; ocr_len=0,,,"numeric tokens: 6 significant, 0 found on stated page (text layer/OCR); missing: 46 106 141.391 220.325 283.09 2022; best-matching page p.52 (c4=0.238)",,replace quote with verbatim source text,HIGH,monitoring_observation (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0002,extraction_method=VISUAL_READ,
QA-A-02650,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,44,44,"Рис.19 (image21.png), rendered p.44",EV-VN-S023-0281,,chronology_event,OK_CONFIRMED,VISUAL_READ_FROM_IMAGE (figure/table raster; not in text layer) || QA_MANUAL QA-M-0134: VISUAL_READ of a screenshot,Y,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=899; ocr_len=0,,,"numeric tokens: 4 significant, 0 found on stated page (text layer/OCR); missing: 1939 1942 1943 1944; best-matching page p.43 (c4=0.077)",,,HIGH,chronology_event (critical),RESOLVED,FACT,SKRU1,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0134,extraction_method=VISUAL_READ,
QA-A-02651,QA_AUTO_QUOTE,AUTO+QA_MANUAL,VKM-SRC-023,44,44,§3.1.3 формула (1.1) (all.md; blank in rendered PDF),EV-VN-S023-0283,,formula,EQUATION_ILLEGIBLE,"POSSIBLE_MISQUOTE_OR_PARAPHRASE (text-layer method, low match on stated page) || QA_MANUAL QA-M-0005: LEGIT_TRANSCRIPTION (OMML equations blank in rendered PDF; transcribed from docx LaTeX into Unicode, so char-gram check fails)",N,,quote_check=NOT_FOUND; c4_text=0.0; c4_ocr=0.0; text_len=899; ocr_len=0,,,"numeric tokens: 3 significant, 0 found on stated page (text layer/OCR); missing: 1.1 37 38",,replace quote with verbatim source text,HIGH,formula,RESOLVED,MODEL_CHOICE,GENERAL_METHOD,NOT_APPLICABLE,TL/OCR char-4gram + numeric-token presence,,QA-M-0005,extraction_method=DOCX_TEXT,
