correction_id,origin,target_type,target_ids,source_id,pdf_page,field,old_value,new_value,reason,severity,ledger_ref,status,confidence,affected_catalogues,basis
QA-C-M046,QA_MANUAL,OLD_EV,EV-SYN-0021 EV-VN-S012-0571 EV-VN-S012-0581,VKM-SRC-012,56;105;107,value / epistemic_status (intermine pillar widths),EV-SYN-0021 ~205 +-30 m (scale inferred from Ris.1.1),"SKRU-1/SKRU-2 pillar ~200 m along profile line 1 (Ris.2.11 distance axis 0-~0,2 km; Ris.4.12 X ~37395-37595 m); SKRU-2/SKRU-3 pillar ~200 m (Ris.4.10 Y ~27440-27650 m); DERIVATION (digitized, pillar as represented in the author's model/figures), same source - not an independent survey",metric-axis figures give a better-founded reading than the inferred scale of Ris.1.1,MINOR,EV-VN-S012-0581,PROPOSED,MEDIUM,spatial_hierarchy.csv; mining_geometry_catalog.csv,"QA render 012 p105/p107/p108 @110 dpi, p56 @110 dpi"
QA-C-M047,QA_MANUAL,OLD_EV,EV-MIN-0109,VKM-SRC-014,117,claim (meaning of 26 m / 52 m on Ris.4.2),26 m / 52 m = spacing of neighbouring ore-pass / ventilation boreholes,26 m = chamber axis spacing (chamber + pillar) of carnallite seam Vk at SKRU-1; 52 m = spacing of ventilation boreholes (every second chamber),dimension lines join chamber axes (dash-dot) and two ventilation boreholes respectively; section 4.2 is SKRU-1,MAJOR,OLD:EV-MIN-0109,PROPOSED,HIGH,mining_geometry_catalog.csv; physical_evidence_v1 claims,sweep visual_check EV-VN-S014-0844 + QA render 014 p117 @130 dpi
QA-C-M048,QA_MANUAL,NEW_CONFLICT,EV-MIN-0109 EV-MIN-0570..0572 EV-MIN-1326,VKM-SRC-014;VKM-SRC-026;VKM-SRC-037,014:117;026:22;037:56,conflict_note (supplement to QA-C-M013),1992 (037) 8/19/27 m vs 2018 (026) 9/17/26 m for SKRU-1 seam Vk,add 2013 (014 Ris.4.2): chamber axis spacing 26 m for Vk at SKRU-1 -> epoch-dependent design (1992: 27 m; 2013/2018: 26 m); keep all values with dates,third dated source for the same design parameter,MINOR,OLD:EV-MIN-0109,PROPOSED,HIGH,mining_geometry_catalog.csv; chronology_conflicts.csv,"QA render 014 p117 @130 dpi; QA-M-0046 (026 p22), QA-M-0020 (037 p56)"
QA-C-M049,QA_MANUAL,OLD_EV,EV-RMB-0004,VKM-SRC-016,4,boundary conditions,lateral boundaries fixed (encastre-type),"lateral and bottom boundaries = rollers (normal displacement fixed, tangential free) - visual interpretation of drawing symbols (text silent)",support symbols are triangles with wheels at two levels on each lateral boundary and three under the bottom,MAJOR,OLD:EV-RMB-0004,PROPOSED,MEDIUM,MATHEMATICAL_MODEL_REGISTRY.csv (reference problem set-up); physical_evidence_v1 claims,sweep visual_check EV-VN-S016-0025 + QA render 016 p4 @130 dpi
QA-C-M050,QA_MANUAL,NEW_VN,EV-VN-S025-0502,VKM-SRC-025,90;94,pdf_page / locator,94,quote p.90 (prose); values digitized from Ris.3.20a p.94 (+-3 MPa),"quote found on p.90 (c4 0.95), figure on p.94",MINOR,EV-VN-S025-0502,PROPOSED,HIGH,mechanics_evidence_catalog.csv,OCR p90 + QA render p94 @130 dpi
QA-C-M051,QA_MANUAL,OLD_EV,EV-RMR-0440..EV-RMR-0471 EV-VN-S025-0422 EV-VN-S025-0423 EV-VN-S025-0424 EV-VN-S025-0425 EV-VN-S025-0426 EV-VN-S025-0427 EV-VN-S025-0428 EV-VN-S025-0429 EV-VN-S025-0433,VKM-SRC-025,82;83;85,"conflict flag (deformation modulus D of motley sylvinite, Tabl.3.3)","Tabl.3.3 D (dry) 0,83/0,66/1,99/1,81; (PTFE) 0,62/1,16/1,91/1,95 GPa used as plain values","keep as printed + conflict flag: Ris.3.13v (~0,31/0,51/0,84/0,94 and ~0,37/0,60/0,87/0,97 GPa) and Tabl.3.4 D_pr (0,32 / 0,51 / 0,96 GPa) agree with each other, not with Tabl.3.3 D; definition of Tabl.3.3 'D' doubtful; never average",three presentations of the same tests in one source disagree,MAJOR,XSRC:S025-TABL33-D,PROPOSED,HIGH,mechanics_evidence_catalog.csv; physical_evidence_v1 parameters.csv,"QA render 025 p82, p83, p85 @130 dpi"
QA-C-M052,QA_MANUAL,NEW_VN,EV-VN-S036-0044 EV-VN-S036-0049 EV-VN-S036-0064 EV-VN-S036-0070 EV-VN-S036-0091 EV-VN-S036-0096 EV-VN-S036-0108 EV-VN-S036-0116,VKM-SRC-036,6-16,status,FACT (scale CALIBRATED_EFFECTIVE_MODEL),"DERIVATION (calibrated model parameters fitted to small-specimen creep curves); E 1.5 GPa, sigma_c 5 MPa, viscosities per load level are NOT laboratory properties of sylvinite",tables are titled model parameters; values result from calibration,MINOR,EV-VN-S036-0050,PROPOSED,HIGH,rheology_evidence_catalog.csv; mechanics_evidence_catalog.csv,QA render 036 p7 @110 dpi
QA-C-M053,QA_MANUAL,NEW_VN,EV-VN-S025-0776,VKM-SRC-025,141,equation flag (5.2),tau formula stored [AS PRINTED] without flag,"flag PROBABLE_MISPRINT: printed tau deviates from the Cauchy relation tau^2 = sum sigma_i^2 cos^2 a_i - sigma^2 (index placement, angle set of the sigma_3^2 term, '+' instead of '-'); keep printed form; any Phase-2 use takes the TEXTBOOK_STANDARD form",formula is used to reduce triaxial contact tests,MINOR,EV-VN-S025-0776,PROPOSED,HIGH,MATHEMATICAL_MODEL_REGISTRY.csv; interfaces_damage_catalog.csv,QA render 025 p141 @130 dpi
QA-C-M054,QA_MANUAL,OLD_EV,EV-RMB-0088,VKM-SRC-012,78,validity range,"Ss = 0,597 e^(9,75e-04 Vp) - 20,0 without range",add validity range of the data: Vp ~3700-4570 m/s (Ss ~2-34 MPa); outside it the regression is extrapolation (Ss = 0 at Vp = 3600),visual reading of the scatter plot,MINOR,OLD:EV-RMB-0088,PROPOSED,MEDIUM,mechanics_evidence_catalog.csv; MATHEMATICAL_MODEL_REGISTRY.csv,QA render 012 p78 @130 dpi
QA-C-M055,QA_MANUAL,NEW_VN,EV-VN-S012-0587 EV-VN-S012-0581 EV-VN-S012-0571,VKM-SRC-012,94;107;108,model_choice note,Kt criterion maps and computed subsidence of the author's sections used without model qualification,"the author's FE section models are LINEAR ELASTIC (elastoplastic Mohr-Coulomb runs did not converge, ~1.4 million elements per section) - results are MODEL_OUTPUT of an elastic MODEL_CHOICE, not observations",prose p.94,MINOR,OLD:EV-MIN-0076,PROPOSED,HIGH,physics_coverage_and_execution_matrix.csv; MATHEMATICAL_MODEL_REGISTRY.csv,text layer 012 p94 + QA render p94 @110 dpi
QA-C-M056,QA_MANUAL,NEW_VN,EV-VN-S014-0852,VKM-SRC-014,115;119,scope,VKM_REGIONAL,SKRU1 (section 4.2 heading: carnallite seam Vk technology at the SKRU-1 mine),section heading p.115,MINOR,EV-VN-S014-0851,PROPOSED,HIGH,visual_ocr_qa_ledger.csv; stratigraphic_units.csv,text layer 014 p113-115
QA-C-M057,QA_MANUAL,NEW_VN,EV-VN-S037-0828,VKM-SRC-037;VKM-SRC-014,037:126;014:113-115,open question status,was seam V mined at SKPRU-1 (UNKNOWN),partially answered: VKM-SRC-014 (2013) documents extraction of sylvinite Vs (incl. joint Vs+AB) and carnallite Vk at SKRU-1; start dates and panels/blocks remain UNKNOWN,cross-source,MINOR,EV-VN-S037-0828,PROPOSED,MEDIUM,mining_chronology_catalog.csv; open questions,text layer 014 p113-115; QA render 037 p126 @150 dpi
QA-C-M058,QA_MANUAL,NEW_VN,EV-VN-S037-0364 EV-VN-S027-0058 EV-VN-S012-0221 EV-VN-S002-0010,VKM-SRC-037;VKM-SRC-027;VKM-SRC-012;VKM-SRC-002,037:45/47;027:4/6;012:42/45;002:10/6,pdf_page (split locator),single page (figure/table page),"quote page and value page recorded separately: 037-0364 quote p.45, figure p.47; 027-0058 quote p.4, table p.6; 012-0221 quote p.42, Ris.2.1 p.45; 002-0010 quote p.10, slide p.6",best-matching page of the quote differs from the figure page,MINOR,GRP:SPLIT-LOCATORS,PROPOSED,MEDIUM,all catalogues citing these vn_ids (locator),deterministic char-4gram page search
QA-C-M059,QA_MANUAL,NEW_VN,EV-VN-S012-0352 EV-VN-S012-0354 EV-VN-S012-0355,VKM-SRC-012,49;50;51,quote / spatial attribution,quotes with English annotation; scope SKRU1_SKRU2 per line,quote = verbatim legend date only; line 1 trough lies in SKRU-2 panels (Ris.2.11); side of lines 10 and 7 troughs relative to SKRU-1 = UNKNOWN (not labelled),charts mark only the pillar band,MINOR,EV-VN-S012-0354,PROPOSED,HIGH,monitoring_observation_catalog.csv; information_lifecycle_matrix.csv,"QA render 012 p49-51 @110 dpi, p56 @110 dpi"
QA-C-M060,QA_MANUAL,NEW_VN,EV-VN-S023-0204,VKM-SRC-023,40,data class,subsidence 2022 as a vector layer (.cpg sidecar),subsidence 2022 of SKRU-1 delivered as an Excel file; the .cpg belongs to a separate shapefile export,file icons on Ris.12,MINOR,EV-VN-S023-0204,PROPOSED,MEDIUM,monitoring_observation_catalog.csv; information_lifecycle_matrix.csv,QA render 023 p40 @110 dpi
QA-C-M061,QA_MANUAL,NEW_VN,EV-VN-S015-0040,VKM-SRC-015,6,confidence of picks,picks from borehole 1 log labels,labels are handwritten and only partly legible -> picks LOW confidence; height datum of the -140...-155 m marks UNKNOWN,visual check,MINOR,EV-VN-S015-0040,PROPOSED,MEDIUM,borehole_picks.csv; gpr_evidence_catalog.csv,QA render 015 p6 @130 dpi
QA-C-M062,QA_MANUAL,NEW_VN,EV-VN-S030-0038,VKM-SRC-030,3;4,transfer note,stress orientation evidence scoped VKM_REGIONAL,"orientations come from sub-salt strata at 1900-2405 m of oil fields (Sibirskoe, Unvinskoe, Yurchukskoe); salt-section intervals gave no measurable orientation -> any use for the SKRU-1 salt massif requires an explicit Transfer",Tabl.1 content,MINOR,EV-VN-S030-0038,PROPOSED,HIGH,mechanics_evidence_catalog.csv (in-situ stress),text layer p3 + QA render p4 @130 dpi
QA-C-M063,QA_MANUAL,NEW_VN,EV-VN-S011-0491 EV-VN-S011-0492 EV-VN-S011-0493 EV-VN-S011-0494,VKM-SRC-011,27,derived collar mark (addition),collar elevation null,"depth + absolute mark is constant within each well: 43s 108,58; 91 108,21; 17 108,76; 16 112,72; 99 117,58 m -> implied collar marks (DERIVATION, datum not stated); BKPRU-1 wells",deterministic consistency check of printed pairs,MINOR,EV-VN-S011-0491,PROPOSED,HIGH,borehole_catalog.csv; coordinate_datum_evidence.csv,QA render 011 p27 crop @300 dpi
QA-C-M064,QA_MANUAL,NEW_VN,EV-VN-S037-0781,VKM-SRC-037,134,seam label,"row 'IISVP, AV, Ural-10KS' (section 1, SKPRU-2)",'AV' is a probable misprint of AB (no seam AV in the VKM sequence); keep as printed with alias AB (probable),visual check of Tabl.7.11,MINOR,EV-VN-S037-0781,PROPOSED,MEDIUM,mining_geometry_catalog.csv,QA render 037 p134 @150 dpi
QA-C-M065,QA_MANUAL,NEW_VN,EV-VN-S012-0514,VKM-SRC-012,56,panel alias,panels 'I SPV -143' ... 'IV SPV -143' (Tabl.2.1),alias of 'I SVP' ... 'IV SVP' (-143) used on Ris.2.11 of the same page - 'SPV' is a label inconsistency,same panels on the same page,MINOR,EV-VN-S012-0514,PROPOSED,HIGH,spatial_hierarchy.csv; mining_geometry_catalog.csv,QA render 012 p56 @110 dpi
QA-C-M066,QA_MANUAL,NEW_VN,EV-VN-S035-0018,VKM-SRC-035,4,status / evidence type,FACT,DERIVATION of a MODEL_OUTPUT (digitized critical subsidence eta* from the authors' FE scenarios) - not an observed threshold,Ris.4 shows modelling results,MINOR,EV-VN-S035-0018,PROPOSED,HIGH,physics_coverage_and_execution_matrix.csv; MATHEMATICAL_MODEL_REGISTRY.csv,QA render 035 p4 @130 dpi
QA-C-R1-001,QA_RULE,NEW_VN,EV-VN-S001-0041 EV-VN-S001-0051 EV-VN-S001-0053 EV-VN-S001-0062,VKM-SRC-001,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-002,QA_RULE,NEW_VN,EV-VN-S002-0030 EV-VN-S002-0032 EV-VN-S002-0033 EV-VN-S002-0034 EV-VN-S002-0035,VKM-SRC-002,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-003,QA_RULE,NEW_VN,EV-VN-S003-0260 EV-VN-S003-0267,VKM-SRC-003,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-004,QA_RULE,NEW_VN,EV-VN-S011-0675 EV-VN-S011-0676 EV-VN-S011-0677 EV-VN-S011-0678 EV-VN-S011-0679 EV-VN-S011-1705 EV-VN-S011-1815 EV-VN-S011-1816 EV-VN-S011-1817 EV-VN-S011-1818 EV-VN-S011-1819 EV-VN-S011-1820 EV-VN-S011-1821 EV-VN-S011-1822 EV-VN-S011-2080 EV-VN-S011-2093 EV-VN-S011-2097,VKM-SRC-011,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,borehole_catalog.csv; claims (context); MATHEMATICAL_MODEL_REGISTRY.csv; monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-005,QA_RULE,NEW_VN,EV-VN-S012-0233 EV-VN-S012-0234 EV-VN-S012-0239 EV-VN-S012-0240 EV-VN-S012-0241 EV-VN-S012-0242 EV-VN-S012-0278 EV-VN-S012-0340 EV-VN-S012-0341 EV-VN-S012-0342 EV-VN-S012-0343 EV-VN-S012-0344 EV-VN-S012-0370 EV-VN-S012-0371 EV-VN-S012-0372 EV-VN-S012-0373 EV-VN-S012-0374 EV-VN-S012-0375 EV-VN-S012-0376 EV-VN-S012-0377 EV-VN-S012-0378 EV-VN-S012-0379 EV-VN-S012-0380 EV-VN-S012-0381 EV-VN-S012-0382 EV-VN-S012-0383 EV-VN-S012-0384 EV-VN-S012-0385 EV-VN-S012-0386 EV-VN-S012-0387 EV-VN-S012-0388 EV-VN-S012-0389 EV-VN-S012-0390 EV-VN-S012-0391 EV-VN-S012-0392 EV-VN-S012-0393 EV-VN-S012-0394 EV-VN-S012-0395 EV-VN-S012-0396 EV-VN-S012-0397 EV-VN-S012-0398 EV-VN-S012-0399 EV-VN-S012-0400 EV-VN-S012-0444 EV-VN-S012-0447 EV-VN-S012-0450 EV-VN-S012-0459 EV-VN-S012-0561 EV-VN-S012-0562 EV-VN-S012-0568 EV-VN-S012-0571 EV-VN-S012-0579 EV-VN-S012-0581,VKM-SRC-012,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv; borehole_catalog.csv; mechanics_evidence_catalog.csv; spatial_hierarchy.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-006,QA_RULE,NEW_VN,EV-VN-S014-0914 EV-VN-S014-0915 EV-VN-S014-0955,VKM-SRC-014,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,mechanics_evidence_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-007,QA_RULE,NEW_VN,EV-VN-S015-0039 EV-VN-S015-0043 EV-VN-S015-0044,VKM-SRC-015,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,gpr_evidence_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-008,QA_RULE,NEW_VN,EV-VN-S017-0021 EV-VN-S017-0031,VKM-SRC-017,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-009,QA_RULE,NEW_VN,EV-VN-S021-0041 EV-VN-S021-0042 EV-VN-S021-0043,VKM-SRC-021,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,borehole_catalog.csv; claims (context),rule R1 over merged records (extraction_method + status)
QA-C-R1-010,QA_RULE,NEW_VN,EV-VN-S024-0256 EV-VN-S024-0257 EV-VN-S024-0258 EV-VN-S024-0259 EV-VN-S024-0260,VKM-SRC-024,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,borehole_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-011,QA_RULE,NEW_VN,EV-VN-S025-0255 EV-VN-S025-0259 EV-VN-S025-0260 EV-VN-S025-0265 EV-VN-S025-0359 EV-VN-S025-0502 EV-VN-S025-1035 EV-VN-S025-1040,VKM-SRC-025,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,mechanics_evidence_catalog.csv; claims (context),rule R1 over merged records (extraction_method + status)
QA-C-R1-012,QA_RULE,NEW_VN,EV-VN-S029-0057 EV-VN-S029-0074 EV-VN-S029-0125 EV-VN-S029-0202,VKM-SRC-029,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,mechanics_evidence_catalog.csv; hydro_evidence_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-013,QA_RULE,NEW_VN,EV-VN-S034-0016 EV-VN-S034-0032 EV-VN-S034-0036 EV-VN-S034-0037,VKM-SRC-034,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-014,QA_RULE,NEW_VN,EV-VN-S035-0018,VKM-SRC-035,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,mechanics_evidence_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-015,QA_RULE,NEW_VN,EV-VN-S036-0014,VKM-SRC-036,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,mechanics_evidence_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-016,QA_RULE,NEW_VN,EV-VN-S037-0120 EV-VN-S037-0888 EV-VN-S037-0889 EV-VN-S037-0901 EV-VN-S037-0902 EV-VN-S037-0904 EV-VN-S037-0912 EV-VN-S037-0913 EV-VN-S037-0937 EV-VN-S037-0950 EV-VN-S037-0979 EV-VN-S037-1078 EV-VN-S037-1079,VKM-SRC-037,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,claims (context); mechanics_evidence_catalog.csv; rheology_evidence_catalog.csv; hydro_evidence_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-017,QA_RULE,NEW_VN,EV-VN-S039-0020 EV-VN-S039-0021 EV-VN-S039-0024,VKM-SRC-039,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,monitoring_observation_catalog.csv,rule R1 over merged records (extraction_method + status)
QA-C-R1-018,QA_RULE,NEW_VN,EV-VN-S040-0334,VKM-SRC-040,,status,FACT,DERIVATION (value digitized from a graph/map; keep digitization uncertainty),"extraction_method=GRAPH_DIGITIZED_APPROX: the figure is a FACT of the source, the number read from it is a derivation of this project",MAJOR,rule R1,PROPOSED,HIGH,borehole_picks.csv,rule R1 over merged records (extraction_method + status)
QA-C-R2-001,QA_RULE,NEW_VN,EV-VN-S002-0005 EV-VN-S002-0006 EV-VN-S002-0011 EV-VN-S002-0012 EV-VN-S002-0016 EV-VN-S002-0017,VKM-SRC-002,4;7;10,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=6,MAJOR,QA-A-00049 QA-A-00050 QA-A-00053 QA-A-00054 QA-A-00055 QA-A-00056,PROPOSED,MEDIUM,monitoring_observation_catalog.csv; information_lifecycle_matrix.csv; MATHEMATICAL_MODEL_REGISTRY.csv,rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
QA-C-R2-002,QA_RULE,NEW_VN,EV-VN-S003-0157 EV-VN-S003-0295 EV-VN-S003-0296 EV-VN-S003-0297 EV-VN-S003-0298 EV-VN-S003-0299 EV-VN-S003-0300 EV-VN-S003-0301 EV-VN-S003-0302 EV-VN-S003-0387,VKM-SRC-003,43;78;79;80;109,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=10,MAJOR,QA-A-00132 QA-A-00157 QA-A-00158 QA-A-00159 QA-A-00160 QA-A-00161 QA-A-00162 QA-A-00163 QA-A-00164 QA-A-00187,PROPOSED,MEDIUM,coordinate_datum_evidence.csv; SOURCE_CITATION_GRAPH.csv; MATHEMATICAL_MODEL_REGISTRY.csv,rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
QA-C-R2-003,QA_RULE,NEW_VN,EV-VN-S004-0015,VKM-SRC-004,3,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=1,MAJOR,QA-A-00200,PROPOSED,MEDIUM,MATHEMATICAL_MODEL_REGISTRY.csv,rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
QA-C-R2-004,QA_RULE,NEW_VN,EV-VN-S005-0020 EV-VN-S005-0031,VKM-SRC-005,2;3,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=2,MAJOR,QA-A-00224 QA-A-00228,PROPOSED,MEDIUM,stratigraphic_units.csv; coordinate_datum_evidence.csv,rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
QA-C-R2-005,QA_RULE,NEW_VN,EV-VN-S006-0113,VKM-SRC-006,19,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=1,MAJOR,QA-A-00288,PROPOSED,MEDIUM,claims (context),rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
QA-C-R2-006,QA_RULE,NEW_VN,EV-VN-S011-1187 EV-VN-S011-1188 EV-VN-S011-1189 EV-VN-S011-1190 EV-VN-S011-1191 EV-VN-S011-1192 EV-VN-S011-1193 EV-VN-S011-1194 EV-VN-S011-1195 EV-VN-S011-1196 EV-VN-S011-1197 EV-VN-S011-1309 EV-VN-S011-1310 EV-VN-S011-1311 EV-VN-S011-1312 EV-VN-S011-1313 EV-VN-S011-1314 EV-VN-S011-1315 EV-VN-S011-1316 EV-VN-S011-1317 EV-VN-S011-1318 EV-VN-S011-1319 EV-VN-S011-1320 EV-VN-S011-1322 EV-VN-S011-1323 EV-VN-S011-1339 EV-VN-S011-1340 EV-VN-S011-1351 EV-VN-S011-1352 EV-VN-S011-1353 EV-VN-S011-1354 EV-VN-S011-1355 EV-VN-S011-1356 EV-VN-S011-1357 EV-VN-S011-1358 EV-VN-S011-1359 EV-VN-S011-1360 EV-VN-S011-1361 EV-VN-S011-1362 EV-VN-S011-1363 EV-VN-S011-1369 EV-VN-S011-1370 EV-VN-S011-1371 EV-VN-S011-1372 EV-VN-S011-1373 EV-VN-S011-1374 EV-VN-S011-1375 EV-VN-S011-1376 EV-VN-S011-1377 EV-VN-S011-1378 EV-VN-S011-1379 EV-VN-S011-1381 EV-VN-S011-1382 EV-VN-S011-1383 EV-VN-S011-1384 EV-VN-S011-1385 EV-VN-S011-1393 EV-VN-S011-1394 EV-VN-S011-2039 EV-VN-S011-3921 EV-VN-S011-3974,VKM-SRC-011,61;63;64;65;66;121;173;178,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=61,MAJOR,QA-A-00769 QA-A-00770 QA-A-00771 QA-A-00772 QA-A-00773 QA-A-00774 QA-A-00775 QA-A-00776 QA-A-00777 QA-A-00778 QA-A-00779 QA-A-00818 QA-A-00819 QA-A-00820 QA-A-00821 QA-A-00822 QA-A-00823 QA-A-00824 QA-A-00825 QA-A-00826 QA-A-00827 QA-A-00828 QA-A-00829 QA-A-00831 QA-A-00832 QA-A-00834 QA-A-00835 QA-A-00837 QA-A-00838 QA-A-00839 QA-A-00840 QA-A-00841 QA-A-00842 QA-A-00843 QA-A-00844 QA-A-00845 QA-A-00846 QA-A-00847 QA-A-00848 QA-A-00849 QA-A-00853 QA-A-00854 QA-A-00855 QA-A-00856 QA-A-00857 QA-A-00858 QA-A-00859 QA-A-00860 QA-A-00861 QA-A-00862 ...,PROPOSED,MEDIUM,borehole_catalog.csv; MATHEMATICAL_MODEL_REGISTRY.csv; conflict notes; claims (context),rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
QA-C-R2-007,QA_RULE,NEW_VN,EV-VN-S012-0085 EV-VN-S012-0163,VKM-SRC-012,28,quote,English paraphrase / summary,verbatim source sentence(s) (Russian),quote field must be verbatim; numbers were checked on the page by numeric-token presence; n=2,MAJOR,QA-A-01562 QA-A-01568,PROPOSED,MEDIUM,borehole_catalog.csv; mining_geometry_catalog.csv,rule R2 over ledger QA_AUTO_QUOTE rows still UNRESOLVED (quote triage + numeric-token check)
