process_id,process,domain,group,causal_role,causal_path_to_subsidence,required_variables,required_parameters,governing_equations,local_evidence,external_evidence_needed,site_relevance,scale_spatial,scale_temporal,scale,uncertainty,identifiability,expected_importance,expected_importance_level,normal_scenario_role,candidate_future_tool,planned_execution_status,readiness,data_gaps,status,scope,confidence,source_ids,locator,vn_ids,n_local_evidence,n_skru1_scoped_evidence,best_evidence_scope,equation_vn_ids,math_model_ids_FORMULAS_draft,prev_release_refs,key_vn_id,key_quote_check,notes
PC-35,Локализация деформаций в разломных и ослабленных (геодинамически активных) зонах,mechanics,OVERBURDEN,пространственная аномалия скорости/величины оседания,"разломная зона в надсолевой толще → пониженная сплошность/трещиноватость → локально повышенные скорости и величины оседания (СКРУ-1, разлом №98; блок 115 быстрее расчётного)","u(x,t) в зоне","геометрия разломов (положение ±150 м), снижение модулей/прочности в зоне",UNKNOWN (нет количественной модели; MODEL_CHOICE — зона с пониженными свойствами),"из 7 участков сопоставления влияние разлома надсолевой толщи обнаружено только на одном (СКРУ-1, разлом №98, реперы 62–66; расхождение положения ≈150 м); подработанная толща в зонах Володинского/Рубцовского разломов — оседания быстрее расчётных (СКРУ-1 блок 115); классификация разлома №98 противоречива (фундаментный vs надсолевой)",геопривязанные контуры разломов СКРУ-1; дополнительные случаи,NORMAL: да (локально),зона сотни м,десятилетия,FIELD,1 из 7 участков; позиционная неопределённость ≈150 м,средняя при плотных наблюдениях,"MEDIUM: локальная аномалия, не общий режим",MEDIUM,SECOND_ORDER,OGS (weak zone material); GemPy (разломы),COMPUTED_3D,GEOMETRY_MISSING,"контуры разломов, свойства зон; конфликт классификации разлома №98",FACT,SKRU1,MEDIUM,VKM-SRC-011;VKM-SRC-018;VKM-SRC-023,"VKM-SRC-011 p.130 (стр. 259-261; Рис. 4.6, 4.7); VKM-SRC-011 p.130 (стр. 259); VKM-SRC-011 p.131 (стр. 261); VKM-SRC-011 p.32 (текст с.62); VKM-SRC-011 p.32 (текст с.62); VKM-SRC-011 p.143 (Прил. 1 №98 vs стр. 258-260); VKM-SRC-018 p.4 (p.4); VKM-SRC-023 p.38 (rendered p.38; Выводы по главе 2)",EV-VN-S011-2655;EV-VN-S011-2090;EV-VN-S011-2099;EV-VN-S011-0570;EV-VN-S011-0568;EV-VN-S011-2651;EV-VN-S018-0028;EV-VN-S023-0194,8,6,SKRU1,,,TX-G13,EV-VN-S011-2090,EXACT,конфликт PCF-07 (классификация разлома №98)
PC-36,Двойное влияние через межрудничный целик; суперпозиция мульд соседних рудников (СКРУ-1/СКРУ-2),mechanics,OVERBURDEN,взаимодействие полей сдвижения соседних рудников,"отработка по обе стороны целика → наложение зон влияния → суммарное оседание над целиком (в центре на 50–70 % больше, чем у границы) и деформации ВЗТ над целиком","u(x,t) над целиком",ширина целика; геометрия и хронология отработки СКРУ-2,суперпозиция мульд (DERIVATION); угловой метод зон влияния [EV-VN-S012-0024],двойное влияние двух выработанных пространств над межрудничным целиком (качественно); суперпозиция мульд по линиям 23/3 (гипотеза автора); СКРУ-2 → оседание ~25 мм на стороне СКРУ-3 до её отработки; оседание над целиком СКРУ-1–СКРУ-2 ещё развивается,геометрия и хронология отработки СКРУ-2 вдоль целика,NORMAL: да (зона межрудничного целика — основная наблюдательная линия №1),целик 1–2 км,десятилетия,FIELD,авторские гипотезы; геометрия СКРУ-2 не оцифрована,средняя (профильная линия №1),HIGH вблизи целика СКРУ-1–СКРУ-2; MEDIUM для остального поля,HIGH,FIRST_ORDER_MODULATOR,"OGS/FLAC3D (домен, включающий оба рудника)",COMPUTED_3D,GEOMETRY_MISSING,домен модели должен включать СКРУ-2,FACT,SKRU1_SKRU2,MEDIUM,VKM-SRC-012,VKM-SRC-012 p.14 (§1.1); VKM-SRC-012 p.50 (§2.3); VKM-SRC-012 p.53 (§2.3); VKM-SRC-012 p.52 (§2.3 p.52); VKM-SRC-012 p.44 (§2.2); VKM-SRC-012 p.104 (§4.2 p.104),EV-VN-S012-0025;EV-VN-S012-0237;EV-VN-S012-0252;EV-VN-S012-0244;EV-VN-S012-0216;EV-VN-S012-0564,6,2,SKRU1_SKRU2,EV-VN-S012-0024,MM-SUBS-013,TX-N07,EV-VN-S012-0237,EXACT,
PC-37,"Неполное заполнение камер закладкой, зазор до кровли (kзап<1)",backfill,BACKFILL,"определяет, какая часть объёма выработанного пространства может сомкнуться до включения закладки","неполная закладка (зазор h_з) → свободная конвергенция до контакта с закладкой → остаточная пустотность → конечное оседание зависит от A,B (коэффициентов закладки)","k_зап, h_з","k_зап (учебные 0,728–0,853; скреперная 0,75; шлам 0,9–0,95); зазор 0,8–1,0 м (мех.); φ, α откоса","k_зап=1−h_з/h_к [EV-VN-S014-0970]; h_з для схем гидрозакладки [EV-VN-S014-0974; 0979; 0980]; η0*=0,9S/(a+b)(1−A(1−B)) [EV-VN-S037-0926]","закладка ниже кровли оставляет зазор h_з → кровля/целики свободно сходятся до контакта; k_зап<1 управляет эффективной поддержкой (опыт: 0,8–1,0 м для механической); БКПРУ-4: значительный недозаклад (перефраз); СКРУ-1: слои закладки по пластам (сухая/гидро/сухая+гидро) и задержка по зонам (годы) — у предприятия, значения в корпусе не оцифрованы",фактические k_зап и задержки закладки по камерам СКРУ-1,NORMAL: да,камера → панель,годы (задержка),DESIGN,учебные примеры ≠ факт СКРУ-1 (TEACHING_EXAMPLE),средняя,HIGH: нормативная методика прямо учитывает закладку в конечном оседании,HIGH,FIRST_ORDER_MODULATOR,"MATLAB (нормативные k_зап, η0*); OGS (контакт/зазор)",SEMI_ANALYTICAL,PARAMETERS_MISSING,"GAP-008 (степень заполнения, жёсткость, задержка)",FACT,SKRU1,MEDIUM,VKM-SRC-014;VKM-SRC-037;VKM-SRC-016;VKM-SRC-023,"VKM-SRC-014 p.161 (§6.3); VKM-SRC-014 p.162 (§6.3, Рис. 6.2–6.5); VKM-SRC-037 p.173 (§8.6.1, Пример 1); VKM-SRC-037 p.78 (§4.6 (с.154–155)); VKM-SRC-016 p.10 (Заключение); VKM-SRC-023 p.43 (Рис.17 (image19.png), rendered p.43); VKM-SRC-023 p.48 (Рис.25б (image27.png), rendered p.48); VKM-SRC-037 p.38 (рис. 2.8 (выработки 4, 6, 15)); VKM-SRC-037 p.170 (формула (8.136))",EV-VN-S014-0986;EV-VN-S014-0988;EV-VN-S037-0962;EV-VN-S037-0497;EV-VN-S016-0078;EV-VN-S023-0270;EV-VN-S023-0316;EV-VN-S037-0319;EV-VN-S037-0926,9,3,SKRU1,EV-VN-S014-0970;EV-VN-S014-0974;EV-VN-S014-0979;EV-VN-S014-0980;EV-VN-S037-0926,MM-BACKFILL-003;MM-BACKFILL-004;MM-SUBS-015,TX-B01;TX-B03;TX-B05;GAP-008,EV-VN-S014-0986,NOT_FOUND,"значения k_зап в учебниках — TEACHING_EXAMPLE, не FACT для СКРУ-1"
PC-38,"Консолидация, уплотнение, обезвоживание закладки и рост её жёсткости",backfill,BACKFILL,временной закон жёсткости поддерживающей среды,"укладка пульпы → быстрый сток рассола (часы) → медленное обезвоживание и усадка (годы) → уплотнение, рост жёсткости/прочности; усадочные пустоты у кровли → задержка включения","ε_bf(σ,t), ρ_bf(t)","закон компрессии закладки (нет); UCS гидрозакладки 3,5–4,0 МПа в 10 лет; кажущаяся плотность 1,08–1,36 т/м3",UNKNOWN (закон уплотнения не найден в корпусе),"быстрый сток рассола (часы) → медленное обезвоживание и усадка (годы) → уплотнение; гидрозакладочный массив UCS 3,5–4,0 МПа в возрасте 10 лет; кажущаяся плотность механической закладки 1,08–1,36 т/м3; роль закладки как упрочняющего фактора источник оценивает как сомнительную (перефраз)",компрессионные испытания солеотходов/шламов ВКМ; натурные давления на закладку,NORMAL: да,камера,часы → годы,FIELD,закон уплотнения отсутствует,низкая,HIGH: влияет на форму кривой оседание–время; но количественный эффект не доказан,HIGH,FIRST_ORDER_MODULATOR,OGS (MFront compaction law); FLAC3D (double-yield),RESEARCH_REQUIRED,PARAMETERS_MISSING,GAP-008; TX-B04,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-020;VKM-SRC-037;VKM-SRC-014;VKM-SRC-024,"VKM-SRC-020 p.27 (§1.4); VKM-SRC-037 p.12 (§1.2.1, масштабный эффект, Рис. 1.11 прямая 7); VKM-SRC-037 p.72 (§4.2 (с.143)); VKM-SRC-014 p.145 (§5.3.2, Рис. 5.6); VKM-SRC-024 p.128 (Прил.1 §2.5.1); VKM-SRC-020 p.25 (§1.4)",EV-VN-S020-0170;EV-VN-S037-0135;EV-VN-S037-0475;EV-VN-S014-0919;EV-VN-S024-0435;EV-VN-S020-0163,6,0,VKM_REGIONAL,,,TX-B04;GAP-008,EV-VN-S020-0170,EXACT,
PC-39,Смыкание кровли с закладкой и включение закладки в работу (отпор),backfill,BACKFILL,момент и величина снижения скорости конвергенции,опускание кровли → смыкание с закладкой (после усадки/зазора) → закладка ограничивает дальнейшее смещение → снижение скорости оседания; уплотнение соляных перемычек при сдвижении,"t_контакта, σ_bf","h_з, закон уплотнения (PC-38), боковой подпор целиков",контакт/зазор (MODEL_CHOICE),опускание кровли → смыкание с закладочным массивом (после усадки/зазора) → закладка ограничивает дальнейшее смещение; толще слой — больше боковой подпор; конвергенция уплотняет намывные перемычки; нормативная цель закладки — снижение оседаний и сохранение ВЗТ,натурные измерения давления на закладку/времени смыкания,NORMAL: да,камера/панель,годы,FIELD,качественно,низкая,HIGH: определяет перелом кривой оседания (замедление),HIGH,FIRST_ORDER_MODULATOR,OGS (contact); FLAC3D,COMPUTED_LOCAL,PARAMETERS_MISSING,GAP-008,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-020;VKM-SRC-014;VKM-SRC-037;VKM-SRC-031,VKM-SRC-020 p.25 (§1.4); VKM-SRC-014 p.161 (§6.3); VKM-SRC-037 p.75 (§4.4 (с.148)); VKM-SRC-037 p.71 (§4.1 (с.141)); VKM-SRC-014 p.55 (§2.5); VKM-SRC-031 p.3 (§Результаты; Выводы),EV-VN-S020-0163;EV-VN-S014-0986;EV-VN-S037-0483;EV-VN-S037-0472;EV-VN-S014-0418;EV-VN-S031-0022,6,0,VKM_REGIONAL,,,TX-B04,EV-VN-S020-0163,EXACT,
PC-40,"Воздействие рассолов закладки и шламов на целики (увлажнение, выщелачивание краёв)",backfill,BACKFILL,деградация краевых зон целиков в заложенных/шламовых панелях,рассол гидрозакладки/шлама (недонасыщенный) → выщелачивание краёв МКЦ (Δb) и увлажнение → уменьшение эффективной ширины и длительной прочности → рост C,"Δb, W",Δb=5 м (нормативный дефолт при отсутствии данных — ENGINEERING); насыщенность рассола,(b−db)/b в P [EV-VN-S037-0884],"нормативно Δb=5,0 м при отсутствии фактических данных (не измерение); возможное выщелачивание стенок шламовых камер при недонасыщенном рассоле; рассолы гидрозакладки повышают влажность приконтурного массива; кольматация снижает фильтрацию на 3 порядка",фактическое выщелачивание краёв целиков на СКРУ-1,NORMAL: да (в заложенных гидро-/шламовых зонах),краевая зона целика,месяцы–годы,DESIGN,дефолтное нормативное значение,низкая,MEDIUM,MEDIUM,SECOND_ORDER,MATLAB (P с db); OGS (THM local — RESEARCH),SEMI_ANALYTICAL,PARAMETERS_MISSING,где на СКРУ-1 гидрозакладка/шламы,ENGINEERING_ASSUMPTION,VKM_REGIONAL,LOW,VKM-SRC-019;VKM-SRC-014;VKM-SRC-025;VKM-SRC-033;VKM-SRC-037,"VKM-SRC-019 p.2 (p.2 item 2); VKM-SRC-014 p.147 (§5.3.2); VKM-SRC-025 p.121 (§4.5 p.121); VKM-SRC-033 p.1 (Введение); VKM-SRC-037 p.186 (§8.6.7, с.371); VKM-SRC-037 p.188 (§8.6.7, с.374)",EV-VN-S019-0011;EV-VN-S014-0924;EV-VN-S025-0659;EV-VN-S033-0007;EV-VN-S037-1061;EV-VN-S037-1076,6,0,VKM_REGIONAL,EV-VN-S037-0884,MM-PILLAR-002,,EV-VN-S019-0011,FUZZY_75,Δb=5 м — ENGINEERING_ASSUMPTION источника
PC-41,"Система водоносных горизонтов надсолевой толщи (напоры, фильтрация по Дарси)",hydro,HYDRO,граничные условия для гидро-ветви; источник пресных вод для аварийного сценария,"водонасыщенная надсолевая толща (ТКТ — главный коллектор, СМТ — трещиновато-карстовая) над соляным водоупором → при нарушении ВЗТ — приток (аварийная ветвь); в нормальном сценарии соль сухая","h (напор), q","K_ф: ТКТ до сотен м/сут; СМТ доли–21 м/сут; ПЦТ 0,1–1 м/сут; соль ≤1e-8 м/сут (СКРУ-1); граница пресных/минерализованных вод 100–150 м","закон Дарси, уравнение пьезопроводности (TEXTBOOK)","два гидрогеологических этажа (надсолевой и подсолевой), разделённые соляной толщей-водоупором; промышленные пласты гидрогеологически изолированы; вся надсолевая толща водонасыщена; K_ф ПЦТ 0,1–1 м/сут, СМТ до 21 м/сут; соль на СКРУ-1 ≤1e-8 м/сут (текстовый слой повреждён); рассольный горизонт у кровли соли 320–340 г/л",напоры и K_ф по скважинам СКРУ-1,NORMAL: только как BC; ACCIDENT: да,район/шахтное поле,сезоны–годы,FIELD,региональные диапазоны,—,"LOW для нормальных оседаний (соль — водоупор, выработки сухие); HIGH для аварийной ветви",LOW,CONTEXT_OR_NEGLIGIBLE,OGS (HM/Richards); MODFLOW,BOUNDARY_CONDITION,PARAMETERS_MISSING,TX-I04; напоры СКРУ-1,FACT,SKRU1,MEDIUM,VKM-SRC-011;VKM-SRC-014;VKM-SRC-037;VKM-SRC-023,VKM-SRC-011 p.37 (текст с.72); VKM-SRC-011 p.37 (текст с.73); VKM-SRC-014 p.21 (§1.4); VKM-SRC-014 p.22 (§1.4); VKM-SRC-037 p.8 (§1.1.4); VKM-SRC-037 p.9 (§1.1.4); VKM-SRC-023 p.35 (rendered p.35; §2.3); VKM-SRC-011 p.176 (English SUMMARY 1.3.3 The Fractures; 1.4 Hydrogeology; 2.1); VKM-SRC-011 p.39 (текст с.75-76 (рассольный горизонт)),EV-VN-S011-0691;EV-VN-S011-0699;EV-VN-S014-0290;EV-VN-S014-0295;EV-VN-S037-0105;EV-VN-S037-0107;EV-VN-S023-0167;EV-VN-S011-3873;EV-VN-S011-0714,9,1,SKRU1,,,TX-I04,EV-VN-S014-0290,FUZZY_78,"значение K соли СКРУ-1 — из ВКР Филатовой (вторичный источник), OCR/текстовый слой с искажённым знаком степени"
PC-42,"Поровое давление, эффективные напряжения и консолидация надсолевой толщи (гидромеханика)",hydro,HYDRO,возможная добавочная осадка/перераспределение в водонасыщенных слоях,"изменение напоров (дренаж, сезонность, деформация толщи) → изменение эффективных напряжений → консолидационная осадка четвертичных/терригенных слоёв → поверхностное смещение (немайнинговая компонента)","p, σ'","коэффициенты консолидации, сжимаемость, Biot",Biot/Terzaghi (TEXTBOOK); одноосная сжимаемость (поро-упругость) [EV-VN-S003-0291],"СКРУ-1 (Филатова, без ссылки): поровое давление в надсолевых водоносных горизонтах снижает эффективные напряжения и устойчивость — UNKNOWN; общие: понижение уровня → уплотнение → оседание; сезонные пики уровня ГВ",мониторинг уровней ГВ над СКРУ-1; свойства четвертичных отложений,NORMAL: неизвестно,четвертичный покров/ТКТ,сезоны–годы,NOT_APPLICABLE,нет данных,низкая,UNKNOWN,UNKNOWN,UNKNOWN_ROLE,OGS (HM),RESEARCH_REQUIRED,EVIDENCE_WEAK,"уровни ГВ, сжимаемость покровных отложений",UNKNOWN,SKRU1,LOW,VKM-SRC-023;VKM-SRC-006;VKM-SRC-003;VKM-SRC-011,"VKM-SRC-023 p.39 (Выводы по гл.2, rendered p.39); VKM-SRC-006 p.24 (§2.2, п. 3.1, с. 24); VKM-SRC-003 p.79 (формула (4.8)); VKM-SRC-011 p.38 (текст с.74)",EV-VN-S023-0197;EV-VN-S006-0055;EV-VN-S003-0291;EV-VN-S011-0701,4,1,SKRU1,EV-VN-S003-0291,MM-ELAST-002,TX-I04,EV-VN-S023-0197,EXACT,
PC-43,Водопроводящие трещины и приток вод/рассолов в выработки (трещинная фильтрация),hydro,HYDRO,аварийная ветвь: связь надсолевых вод с выработками,техногенные трещины в ВЗТ (PC-34) + зоны ослабления/разломы → водопроводящий канал → приток (сотни м3/сут) → растворение (PC-45) → затопление (PC-44),"Q_приток, проницаемость трещин",раскрытие/связность трещин; напоры; проницаемость после дилатансии,"кубический закон трещинной фильтрации (TEXTBOOK); рост проницаемости с дилатансией (LAB, не ВКМ) [EV-VN-S029-0202]","затопление через техногенные водопроводящие трещины, преимущественно в зонах ослабленных свойств; среднесуточный водоприток 250–300 м3/сут, в зонах тектонических нарушений до 500–600 (scope UNSTATED); СКРУ-1: притоки в ствол №2 (1930, до 1 л/ч; тампонажи до 152 м) — через крепь ствола, не ВЗТ; внутрисолевые рассолы СКРУ-1 (состав)",журналы водопритоков СКРУ-1,NORMAL: нет (ВЗТ сохраняется); ACCIDENT: ключевой,трещинная зона/выработка,сутки–месяцы,FIELD,—,—,LOW для нормального сценария; CRITICAL для аварийного,LOW,ACCIDENT_ONLY,OGS (HM + LIE fracture flow; THM),COUPLED_PROCESS,NOT_APPLICABLE_NORMAL_SCENARIO,—,FACT,VKM_REGIONAL,HIGH,VKM-SRC-012;VKM-SRC-021;VKM-SRC-023;VKM-SRC-040;VKM-SRC-011;VKM-SRC-016;VKM-SRC-029,"VKM-SRC-012 p.5 (Введение, Актуальность); VKM-SRC-021 p.1 (введение); VKM-SRC-023 p.37 (rendered p.37; §2.4); VKM-SRC-023 p.37 (rendered p.37; §2.4); VKM-SRC-040 p.25 (§1.2.2); VKM-SRC-040 p.26 (§1.2.2); VKM-SRC-011 p.39 (Табл. 1.17 (render 250 dpi clip, confirmed)); VKM-SRC-016 p.3 (Введение, refs [12-14]); VKM-SRC-029 p.114 (Рис. 4.3 (reproduced from [90]))",EV-VN-S012-0003;EV-VN-S021-0008;EV-VN-S023-0187;EV-VN-S023-0188;EV-VN-S040-0071;EV-VN-S040-0073;EV-VN-S011-0732;EV-VN-S016-0014;EV-VN-S029-0202,9,3,SKRU1,EV-VN-S029-0202,,,EV-VN-S012-0003,EXACT,"притоки в стволы — отдельный путь (крепь ствола), не через ВЗТ панелей"
PC-44,Затопление рудника (катастрофический водоприток),hydro,HYDRO,аварийный сценарий,прорыв ВЗТ → приток (БКПРУ-3 1986; БКПРУ-1 2006: 300–400 м3/ч) → затопление → растворение МКЦ → интенсивное оседание/провалы,"V_воды(t), Q(t)",—,гидрогеохимическое моделирование растворения (СПб ИГЭ РАН) — CITED,затопления БКПРУ-3 (1986) и БКПРУ-1 (2006); приток БКПРУ-1 17.10.2006 300–400 м3/ч; компартментализация гидроизолирующими целиками; СКРУ-2 после 2014 приток 100–500 м3/сут (после мер); для целиков СКРУ-1–СКРУ-2 модель не прогнозирует водопроводящих трещин до 2031,—,ACCIDENT only,рудник,сутки–годы,FIELD,—,—,LOW для нормального сценария (вне области применимости),LOW,ACCIDENT_ONLY,OGS (THMC) — отдельный gate,CONTEXT_ONLY,NOT_APPLICABLE_NORMAL_SCENARIO,—,FACT,OTHER_VKM_SITE,HIGH,VKM-SRC-011;VKM-SRC-025;VKM-SRC-014;VKM-SRC-040;VKM-SRC-012,"VKM-SRC-011 p.148 (Прилож. 2); VKM-SRC-025 p.19 (§1.3); VKM-SRC-025 p.20 (§1.3); VKM-SRC-014 p.86 (§3.2, Рис. 3.6–3.8); VKM-SRC-014 p.102 (§3.4); VKM-SRC-040 p.36 (§1.3); VKM-SRC-012 p.113 (p.113, p.117, Прил. А)",EV-VN-S011-2728;EV-VN-S025-0141;EV-VN-S025-0144;EV-VN-S014-0567;EV-VN-S014-0658;EV-VN-S040-0101;EV-VN-S012-0745,7,1,SKRU1_SKRU2,,,,EV-VN-S011-2728,EXACT,"аварийные события — соседние рудники, не СКРУ-1"
PC-45,"Растворение соли, техногенный карст и провалообразование",hydro,HYDRO,аварийный механизм резких оседаний и провалов,"недонасыщенные воды → растворение МКЦ, кровли и почвы (карналлит наиболее растворим) → интенсивное деформирование → карстовая полость над солью → обрушение надсолевых пород → провал; самозакладка обрушенной солью частично смягчает","объём растворённой соли, полость","растворимость (галит 355 г/л при 0 °C), насыщение по MgCl2 180–210 сут, объём пустот","баланс растворения (CITED, гидрогеохимия)",БКПРУ-1: прорыв слабоминерализованных вод → растворение МКЦ/кровли/почвы → интенсивное деформирование; самозакладка камер; деградация МКЦ → разрушение ВЗТ → карстовая полость → провал; полное донасыщение по MgCl2 через 180–210 сут; провал 18.11.2014 над 2СВП СКРУ-2 (соседний рудник),—,ACCIDENT only (для СКРУ-1 — соседство провала СКРУ-2),сотни м,месяцы–годы,FIELD,—,—,LOW для нормального сценария; CRITICAL для аварийного,LOW,ACCIDENT_ONLY,OGS (THMC) — отдельный gate; PHREEQC,COUPLED_PROCESS,NOT_APPLICABLE_NORMAL_SCENARIO,—,FACT,BKPRU1,HIGH,VKM-SRC-038;VKM-SRC-025;VKM-SRC-017;VKM-SRC-012,"VKM-SRC-038 p.1 (вводный абзац); VKM-SRC-038 p.2 (с. 241, 1-я колонка); VKM-SRC-038 p.2 (с. 241, 1–2 колонки); VKM-SRC-038 p.6 (с. 245); VKM-SRC-038 p.2 (с. 241, 1-я колонка); VKM-SRC-025 p.16 (§1.3); VKM-SRC-017 p.1 (Введение); VKM-SRC-012 p.44 (§2.2)",EV-VN-S038-0005;EV-VN-S038-0010;EV-VN-S038-0011;EV-VN-S038-0037;EV-VN-S038-0008;EV-VN-S025-0125;EV-VN-S017-0005;EV-VN-S012-0216,8,0,SKRU2,,,,EV-VN-S038-0011,NOT_FOUND,
PC-46,Природный соляной карст и выщелачивание у соляного зеркала (геологическое время),hydro,HYDRO,"формирует современную кровлю соли, утонение ВЗТ, аномалии пластов","контакт соли с подземными водами на поднятиях → выщелачивание калийных пластов, гипсово-глинистые кепроки, мульды → утонение ВЗТ и геологические аномалии (СКРУ-1: выщелачивание пласта В) → геометрия модели",отметка соляного зеркала,"карта кровли соли, зоны выщелачивания",—,гипергенное выщелачивание на куполах/поднятиях; соляной карст ~27 % площади месторождения; утонение ВЗТ над сводами; СКРУ-1: геологическая аномалия — выщелачивание пласта В в центральной части поля; карстовые полости в контактовой зоне при проходке ствола №1 СКРУ-1,карта соляного зеркала СКРУ-1,NORMAL: как геометрия/начальное состояние,шахтное поле,геологическое время,FIELD,—,—,MEDIUM: определяет мощность ВЗТ и локальные аномалии,MEDIUM,SECOND_ORDER,GemPy/Micromine (поверхность соляного зеркала),CONTEXT_ONLY,GEOMETRY_MISSING,поверхность соляного зеркала по скважинам (Phase 2 интерполяция),FACT,SKRU1,HIGH,VKM-SRC-011;VKM-SRC-020;VKM-SRC-037,"VKM-SRC-011 p.22 (§1.3.2); VKM-SRC-011 p.46 (§2.2 с.91); VKM-SRC-011 p.111 (§3.5, p.220); VKM-SRC-020 p.10 (§1.1); VKM-SRC-037 p.7 (§1.1.3); VKM-SRC-037 p.37 (рис. 2.7 легенда 6); VKM-SRC-011 p.39 (текст с.76)",EV-VN-S011-0349;EV-VN-S011-0871;EV-VN-S011-1806;EV-VN-S020-0092;EV-VN-S037-0089;EV-VN-S037-0309;EV-VN-S011-0719,7,2,SKRU1,,,TX-G11;TX-G13,EV-VN-S037-0309,EXACT,
PC-47,Влияние влажности на свойства соли и глинистых прослоев,hydro,HYDRO,деградация приконтурной зоны целиков,"конденсат вентиляционного воздуха + рассолы гидрозакладки → рост влажности приконтурной зоны (0,4–3 м; 0,8–0,85 %) → снижение длительной прочности (до ~3 раз при насыщении рассолом, LAB) и модулей → рост C, деградация МКЦ","W(x,t)","W контура 0,80–0,85 %; насыщение ~0,9 % за ~40 сут; σдл ÷~3; разброс UCS ×2,7",понижающие коэффициенты свойств (SEMI_ANALYTICAL),"натурные профили влажности у контура выработок (конденсат, рассолы закладки); LAB: насыщение КрII сильвинита рассолом до ~0,9 % за ~40 сут — средняя UCS без изменений, разброс ×2,7, длительная прочность ÷~3, модули ↓; сезонное увлажнение прослоев",профили влажности МКЦ СКРУ-1,NORMAL: да (приконтурная зона),"0,4–3 м от контура",сезоны–годы,LAB,LAB 4–6 образцов/партия,низкая,MEDIUM: деградация длительной прочности краевых зон,MEDIUM,SECOND_ORDER,MATLAB; OGS (TH/HM local),SEMI_ANALYTICAL,PARAMETERS_MISSING,профили влажности СКРУ-1,FACT,VKM_REGIONAL,MEDIUM,VKM-SRC-025;VKM-SRC-033;VKM-SRC-037,"VKM-SRC-025 p.121 (§4.5 p.121 cites [24], [35]); VKM-SRC-025 p.121 (§4.5 p.121); VKM-SRC-025 p.124 (§4.5 pp.122-124); VKM-SRC-025 p.125 (§4.5 conclusion p.125); VKM-SRC-033 p.1 (Введение); VKM-SRC-033 p.1 (Введение); VKM-SRC-037 p.80 (§5.1 (с.158))",EV-VN-S025-0657;EV-VN-S025-0658;EV-VN-S025-0678;EV-VN-S025-0681;EV-VN-S033-0005;EV-VN-S033-0006;EV-VN-S037-0512,7,0,VKM_REGIONAL,,,,EV-VN-S025-0678,NOT_FOUND,
PC-48,Геотермическое поле массива (температура на глубине отработки),thermal,THERMAL,начальное условие для температурно-зависимой реологии,"температура массива (~+9–10 °C на уровне очистных работ, аналог БКПРУ-3) → скорость ползучести (PC-49) → темп оседаний",T(z),T соли на уровне отработки; T рассолов; геотермический градиент,T(z)=T0+G·z (TEXTBOOK) — параметры UNKNOWN для СКРУ-1,"БКПРУ-3 (середина 1980-х): соль на уровне очистных работ +9–10 °C, притекавшие рассолы +7,5 °C, расчётная T рассолов на 300 м +8 °C (геотермия Лужецкой); рассолы контактового горизонта 4–6 °C; подземные воды ~+10 °C; воздух выработок +7…+10 °C (стабильно) vs установившаяся (воздух) 12–20 °C vs требуемый режим 16–18 °C (разные величины)",термометрия скважин СКРУ-1; работы Лужецкой (первичный источник),NORMAL: да (как параметр),массив,стационарно,FIELD,нет данных СКРУ-1; аналог БКПРУ-3,—,LOW как самостоятельный процесс; MEDIUM через перенос лабораторных законов ползучести на T массива,LOW,SECOND_ORDER,"OGS (T field, isothermal assumption)",INITIAL_CONDITION,EVIDENCE_WEAK,GAP-005,ANALOGUE,BKPRU3,MEDIUM,VKM-SRC-011;VKM-SRC-037;VKM-SRC-028;VKM-SRC-023,"VKM-SRC-011 p.39 (текст с.77); VKM-SRC-011 p.39 (текст с.76); VKM-SRC-011 p.123 (стр. 245); VKM-SRC-037 p.42 (§2.8, с.82); VKM-SRC-028 p.137 (§2.3.7 Гидравлическое оборудование самоходного вагона); VKM-SRC-023 p.38 (rendered p.38; §2.4); VKM-SRC-011 p.6 (§1.1)",EV-VN-S011-0726;EV-VN-S011-0715;EV-VN-S011-2053;EV-VN-S037-0337;EV-VN-S028-0108;EV-VN-S023-0190;EV-VN-S011-0034,7,0,BKPRU3,,,TX-R04;TX-I05;GAP-005,EV-VN-S011-0726,EXACT,температура воздуха ≠ температура массива; конфликт PCF-05
